continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Afghanistan,2020-01-05,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-06,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-07,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-08,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-09,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-10,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-11,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-12,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-13,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-14,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-15,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-16,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-17,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-18,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-19,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-20,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-21,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-22,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-23,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-24,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-25,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-26,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-27,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-28,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-29,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-30,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-01-31,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-01,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-02,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-03,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-04,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-05,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-06,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-07,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-08,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-09,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-10,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-11,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-12,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-13,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-14,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-15,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-16,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-17,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-18,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-19,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-20,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-21,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-22,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-23,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-24,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-25,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-26,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-27,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-28,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-02-29,41128772,0.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-01,41128772,1.0,1.0,0.0,0.0
Asia,Afghanistan,2020-03-02,41128772,1.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-03,41128772,1.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-04,41128772,1.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-05,41128772,1.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-06,41128772,1.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-07,41128772,1.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-08,41128772,1.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-09,41128772,1.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-10,41128772,1.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-11,41128772,1.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-12,41128772,1.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-13,41128772,1.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-14,41128772,1.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-15,41128772,7.0,6.0,0.0,0.0
Asia,Afghanistan,2020-03-16,41128772,7.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-17,41128772,7.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-18,41128772,7.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-19,41128772,7.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-20,41128772,7.0,0.0,0.0,0.0
Asia,Afghanistan,2020-03-21,41128772,7.0,0.0,0.0,0.0
