continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Oceania,American Samoa,2020-01-05,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-06,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-07,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-08,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-09,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-10,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-11,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-12,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-13,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-14,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-15,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-16,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-17,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-18,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-19,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-20,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-21,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-22,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-23,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-24,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-25,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-26,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-27,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-28,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-29,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-30,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-01-31,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-01,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-02,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-03,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-04,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-05,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-06,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-07,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-08,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-09,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-10,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-11,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-12,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-13,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-14,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-15,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-16,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-17,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-18,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-19,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-20,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-21,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-22,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-23,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-24,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-25,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-26,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-27,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-28,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-02-29,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-01,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-02,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-03,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-04,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-05,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-06,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-07,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-08,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-09,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-10,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-11,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-12,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-13,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-14,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-15,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-16,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-17,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-18,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-19,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-20,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-21,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-22,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-23,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-24,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-25,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-26,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-27,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-28,44295,0.0,0.0,0.0,0.0
Oceania,American Samoa,2020-03-29,44295,0.0,0.0,0.0,0.0
