continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Anguilla,2020-01-05,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-06,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-07,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-08,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-09,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-10,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-11,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-12,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-13,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-14,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-15,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-16,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-17,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-18,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-19,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-20,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-21,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-22,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-23,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-24,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-25,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-26,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-27,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-28,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-29,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-30,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-01-31,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-02-01,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-02-02,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-02-03,15877,0.0,0.0,0.0,0.0
North America,Anguilla,2020-02-04,15877,0.0,0.0,0.0,0.0
