continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Antigua and Barbuda,2020-01-05,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-06,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-07,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-08,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-09,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-10,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-11,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-12,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-13,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-14,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-15,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-16,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-17,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-18,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-19,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-20,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-21,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-22,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-23,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-24,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-25,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-26,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-27,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-28,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-29,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-30,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-01-31,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-02-01,93772,0.0,0.0,0.0,0.0
North America,Antigua and Barbuda,2020-02-02,93772,0.0,0.0,0.0,0.0
