continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
South America,Argentina,2020-01-01,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-02,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-03,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-04,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-05,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-06,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-07,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-08,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-09,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-10,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-11,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-12,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-13,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-14,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-15,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-16,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-17,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-18,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-19,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-20,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-21,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-22,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-23,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-24,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-25,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-26,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-27,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-28,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-29,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-30,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-01-31,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-02-01,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-02-02,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-02-03,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-02-04,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-02-05,45510324,0.0,0.0,0.0,0.0
South America,Argentina,2020-02-06,45510324,0.0,0.0,0.0,0.0
