continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Aruba,2020-01-05,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-06,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-07,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-08,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-09,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-10,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-11,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-12,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-13,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-14,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-15,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-16,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-17,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-18,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-19,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-20,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-21,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-22,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-23,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-24,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-25,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-26,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-27,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-28,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-29,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-30,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-01-31,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-01,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-02,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-03,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-04,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-05,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-06,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-07,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-08,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-09,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-10,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-11,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-12,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-13,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-14,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-15,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-16,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-17,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-18,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-19,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-20,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-21,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-22,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-23,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-24,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-25,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-26,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-27,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-28,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-02-29,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-01,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-02,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-03,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-04,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-05,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-06,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-07,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-08,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-09,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-10,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-11,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-12,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-13,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-14,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-15,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-16,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-17,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-18,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-19,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-20,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-21,106459,0.0,0.0,0.0,0.0
North America,Aruba,2020-03-22,106459,5.0,5.0,0.0,0.0
North America,Aruba,2020-03-23,106459,5.0,0.0,0.0,0.0
North America,Aruba,2020-03-24,106459,5.0,0.0,0.0,0.0
North America,Aruba,2020-03-25,106459,5.0,0.0,0.0,0.0
North America,Aruba,2020-03-26,106459,5.0,0.0,0.0,0.0
North America,Aruba,2020-03-27,106459,5.0,0.0,0.0,0.0
North America,Aruba,2020-03-28,106459,5.0,0.0,0.0,0.0
North America,Aruba,2020-03-29,106459,46.0,41.0,0.0,0.0
North America,Aruba,2020-03-30,106459,46.0,0.0,0.0,0.0
North America,Aruba,2020-03-31,106459,46.0,0.0,0.0,0.0
North America,Aruba,2020-04-01,106459,46.0,0.0,0.0,0.0
North America,Aruba,2020-04-02,106459,46.0,0.0,0.0,0.0
North America,Aruba,2020-04-03,106459,46.0,0.0,0.0,0.0
North America,Aruba,2020-04-04,106459,46.0,0.0,0.0,0.0
North America,Aruba,2020-04-05,106459,64.0,18.0,0.0,0.0
North America,Aruba,2020-04-06,106459,64.0,0.0,0.0,0.0
North America,Aruba,2020-04-07,106459,64.0,0.0,0.0,0.0
North America,Aruba,2020-04-08,106459,64.0,0.0,0.0,0.0
North America,Aruba,2020-04-09,106459,64.0,0.0,0.0,0.0
North America,Aruba,2020-04-10,106459,64.0,0.0,0.0,0.0
North America,Aruba,2020-04-11,106459,64.0,0.0,0.0,0.0
North America,Aruba,2020-04-12,106459,92.0,28.0,0.0,0.0
North America,Aruba,2020-04-13,106459,92.0,0.0,0.0,0.0
North America,Aruba,2020-04-14,106459,92.0,0.0,0.0,0.0
North America,Aruba,2020-04-15,106459,92.0,0.0,0.0,0.0
North America,Aruba,2020-04-16,106459,92.0,0.0,0.0,0.0
North America,Aruba,2020-04-17,106459,92.0,0.0,0.0,0.0
North America,Aruba,2020-04-18,106459,92.0,0.0,0.0,0.0
North America,Aruba,2020-04-19,106459,96.0,4.0,2.0,2.0
North America,Aruba,2020-04-20,106459,96.0,0.0,2.0,0.0
North America,Aruba,2020-04-21,106459,96.0,0.0,2.0,0.0
North America,Aruba,2020-04-22,106459,96.0,0.0,2.0,0.0
North America,Aruba,2020-04-23,106459,96.0,0.0,2.0,0.0
North America,Aruba,2020-04-24,106459,96.0,0.0,2.0,0.0
North America,Aruba,2020-04-25,106459,96.0,0.0,2.0,0.0
