continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Oceania,Australia,2020-01-05,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-06,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-07,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-08,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-09,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-10,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-11,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-12,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-13,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-14,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-15,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-16,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-17,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-18,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-19,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-20,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-21,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-22,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-23,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-24,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-25,26177410,0.0,0.0,0.0,0.0
Oceania,Australia,2020-01-26,26177410,4.0,4.0,0.0,0.0
Oceania,Australia,2020-01-27,26177410,4.0,0.0,0.0,0.0
Oceania,Australia,2020-01-28,26177410,4.0,0.0,0.0,0.0
Oceania,Australia,2020-01-29,26177410,4.0,0.0,0.0,0.0
Oceania,Australia,2020-01-30,26177410,4.0,0.0,0.0,0.0
Oceania,Australia,2020-01-31,26177410,4.0,0.0,0.0,0.0
Oceania,Australia,2020-02-01,26177410,4.0,0.0,0.0,0.0
Oceania,Australia,2020-02-02,26177410,12.0,8.0,0.0,0.0
Oceania,Australia,2020-02-03,26177410,12.0,0.0,0.0,0.0
Oceania,Australia,2020-02-04,26177410,12.0,0.0,0.0,0.0
Oceania,Australia,2020-02-05,26177410,12.0,0.0,0.0,0.0
Oceania,Australia,2020-02-06,26177410,12.0,0.0,0.0,0.0
Oceania,Australia,2020-02-07,26177410,12.0,0.0,0.0,0.0
Oceania,Australia,2020-02-08,26177410,12.0,0.0,0.0,0.0
Oceania,Australia,2020-02-09,26177410,15.0,3.0,0.0,0.0
Oceania,Australia,2020-02-10,26177410,15.0,0.0,0.0,0.0
Oceania,Australia,2020-02-11,26177410,15.0,0.0,0.0,0.0
Oceania,Australia,2020-02-12,26177410,15.0,0.0,0.0,0.0
Oceania,Australia,2020-02-13,26177410,15.0,0.0,0.0,0.0
Oceania,Australia,2020-02-14,26177410,15.0,0.0,0.0,0.0
Oceania,Australia,2020-02-15,26177410,15.0,0.0,0.0,0.0
Oceania,Australia,2020-02-16,26177410,15.0,0.0,0.0,0.0
Oceania,Australia,2020-02-17,26177410,15.0,0.0,0.0,0.0
Oceania,Australia,2020-02-18,26177410,15.0,0.0,0.0,0.0
Oceania,Australia,2020-02-19,26177410,15.0,0.0,0.0,0.0
Oceania,Australia,2020-02-20,26177410,15.0,0.0,0.0,0.0
Oceania,Australia,2020-02-21,26177410,15.0,0.0,0.0,0.0
Oceania,Australia,2020-02-22,26177410,15.0,0.0,0.0,0.0
Oceania,Australia,2020-02-23,26177410,22.0,7.0,0.0,0.0
Oceania,Australia,2020-02-24,26177410,22.0,0.0,0.0,0.0
Oceania,Australia,2020-02-25,26177410,22.0,0.0,0.0,0.0
Oceania,Australia,2020-02-26,26177410,22.0,0.0,0.0,0.0
Oceania,Australia,2020-02-27,26177410,22.0,0.0,0.0,0.0
Oceania,Australia,2020-02-28,26177410,22.0,0.0,0.0,0.0
Oceania,Australia,2020-02-29,26177410,22.0,0.0,0.0,0.0
Oceania,Australia,2020-03-01,26177410,25.0,3.0,0.0,0.0
Oceania,Australia,2020-03-02,26177410,25.0,0.0,0.0,0.0
Oceania,Australia,2020-03-03,26177410,25.0,0.0,0.0,0.0
Oceania,Australia,2020-03-04,26177410,25.0,0.0,0.0,0.0
Oceania,Australia,2020-03-05,26177410,25.0,0.0,0.0,0.0
Oceania,Australia,2020-03-06,26177410,25.0,0.0,0.0,0.0
Oceania,Australia,2020-03-07,26177410,25.0,0.0,0.0,0.0
Oceania,Australia,2020-03-08,26177410,70.0,45.0,4.0,4.0
Oceania,Australia,2020-03-09,26177410,70.0,0.0,4.0,0.0
Oceania,Australia,2020-03-10,26177410,70.0,0.0,4.0,0.0
Oceania,Australia,2020-03-11,26177410,70.0,0.0,4.0,0.0
Oceania,Australia,2020-03-12,26177410,70.0,0.0,4.0,0.0
Oceania,Australia,2020-03-13,26177410,70.0,0.0,4.0,0.0
Oceania,Australia,2020-03-14,26177410,70.0,0.0,4.0,0.0
Oceania,Australia,2020-03-15,26177410,249.0,179.0,7.0,3.0
Oceania,Australia,2020-03-16,26177410,249.0,0.0,7.0,0.0
Oceania,Australia,2020-03-17,26177410,249.0,0.0,7.0,0.0
Oceania,Australia,2020-03-18,26177410,249.0,0.0,7.0,0.0
Oceania,Australia,2020-03-19,26177410,249.0,0.0,7.0,0.0
Oceania,Australia,2020-03-20,26177410,249.0,0.0,7.0,0.0
Oceania,Australia,2020-03-21,26177410,249.0,0.0,7.0,0.0
Oceania,Australia,2020-03-22,26177410,1081.0,832.0,9.0,2.0
Oceania,Australia,2020-03-23,26177410,1081.0,0.0,9.0,0.0
Oceania,Australia,2020-03-24,26177410,1081.0,0.0,9.0,0.0
Oceania,Australia,2020-03-25,26177410,1081.0,0.0,9.0,0.0
Oceania,Australia,2020-03-26,26177410,1081.0,0.0,9.0,0.0
