continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Austria,2020-01-05,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-06,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-07,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-08,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-09,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-10,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-11,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-12,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-13,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-14,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-15,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-16,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-17,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-18,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-19,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-20,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-21,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-22,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-23,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-24,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-25,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-26,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-27,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-28,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-29,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-30,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-01-31,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-01,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-02,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-03,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-04,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-05,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-06,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-07,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-08,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-09,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-10,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-11,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-12,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-13,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-14,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-15,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-16,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-17,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-18,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-19,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-20,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-21,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-22,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-23,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-24,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-25,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-26,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-27,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-28,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-02-29,8939617,0.0,0.0,0.0,0.0
Europe,Austria,2020-03-01,8939617,7.0,7.0,0.0,0.0
Europe,Austria,2020-03-02,8939617,7.0,0.0,0.0,0.0
Europe,Austria,2020-03-03,8939617,7.0,0.0,0.0,0.0
Europe,Austria,2020-03-04,8939617,7.0,0.0,0.0,0.0
Europe,Austria,2020-03-05,8939617,7.0,0.0,0.0,0.0
Europe,Austria,2020-03-06,8939617,7.0,0.0,0.0,0.0
Europe,Austria,2020-03-07,8939617,7.0,0.0,0.0,0.0
Europe,Austria,2020-03-08,8939617,75.0,68.0,0.0,0.0
Europe,Austria,2020-03-09,8939617,75.0,0.0,0.0,0.0
Europe,Austria,2020-03-10,8939617,75.0,0.0,0.0,0.0
Europe,Austria,2020-03-11,8939617,75.0,0.0,0.0,0.0
Europe,Austria,2020-03-12,8939617,75.0,0.0,0.0,0.0
Europe,Austria,2020-03-13,8939617,75.0,0.0,0.0,0.0
Europe,Austria,2020-03-14,8939617,75.0,0.0,0.0,0.0
Europe,Austria,2020-03-15,8939617,588.0,513.0,1.0,1.0
Europe,Austria,2020-03-16,8939617,588.0,0.0,1.0,0.0
Europe,Austria,2020-03-17,8939617,588.0,0.0,1.0,0.0
Europe,Austria,2020-03-18,8939617,588.0,0.0,1.0,0.0
Europe,Austria,2020-03-19,8939617,588.0,0.0,1.0,0.0
Europe,Austria,2020-03-20,8939617,588.0,0.0,1.0,0.0
Europe,Austria,2020-03-21,8939617,588.0,0.0,1.0,0.0
