continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Bahamas,2020-01-05,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-06,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-07,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-08,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-09,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-10,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-11,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-12,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-13,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-14,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-15,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-16,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-17,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-18,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-19,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-20,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-21,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-22,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-23,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-24,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-25,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-26,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-27,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-28,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-29,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-30,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-01-31,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-02-01,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-02-02,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-02-03,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-02-04,409989,0.0,0.0,0.0,0.0
North America,Bahamas,2020-02-05,409989,0.0,0.0,0.0,0.0
