continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Barbados,2020-01-05,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-06,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-07,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-08,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-09,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-10,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-11,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-12,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-13,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-14,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-15,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-16,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-17,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-18,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-19,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-20,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-21,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-22,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-23,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-24,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-25,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-26,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-27,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-28,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-29,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-30,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-01-31,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-01,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-02,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-03,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-04,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-05,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-06,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-07,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-08,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-09,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-10,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-11,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-12,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-13,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-14,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-15,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-16,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-17,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-18,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-19,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-20,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-21,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-22,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-23,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-24,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-25,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-26,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-27,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-28,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-02-29,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-01,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-02,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-03,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-04,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-05,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-06,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-07,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-08,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-09,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-10,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-11,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-12,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-13,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-14,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-15,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-16,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-17,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-18,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-19,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-20,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-21,281646,0.0,0.0,0.0,0.0
North America,Barbados,2020-03-22,281646,5.0,5.0,0.0,0.0
North America,Barbados,2020-03-23,281646,5.0,0.0,0.0,0.0
North America,Barbados,2020-03-24,281646,5.0,0.0,0.0,0.0
North America,Barbados,2020-03-25,281646,5.0,0.0,0.0,0.0
North America,Barbados,2020-03-26,281646,5.0,0.0,0.0,0.0
North America,Barbados,2020-03-27,281646,5.0,0.0,0.0,0.0
North America,Barbados,2020-03-28,281646,5.0,0.0,0.0,0.0
North America,Barbados,2020-03-29,281646,24.0,19.0,0.0,0.0
North America,Barbados,2020-03-30,281646,24.0,0.0,0.0,0.0
North America,Barbados,2020-03-31,281646,24.0,0.0,0.0,0.0
North America,Barbados,2020-04-01,281646,24.0,0.0,0.0,0.0
North America,Barbados,2020-04-02,281646,24.0,0.0,0.0,0.0
North America,Barbados,2020-04-03,281646,24.0,0.0,0.0,0.0
North America,Barbados,2020-04-04,281646,24.0,0.0,0.0,0.0
North America,Barbados,2020-04-05,281646,51.0,27.0,0.0,0.0
North America,Barbados,2020-04-06,281646,51.0,0.0,0.0,0.0
North America,Barbados,2020-04-07,281646,51.0,0.0,0.0,0.0
North America,Barbados,2020-04-08,281646,51.0,0.0,0.0,0.0
North America,Barbados,2020-04-09,281646,51.0,0.0,0.0,0.0
North America,Barbados,2020-04-10,281646,51.0,0.0,0.0,0.0
North America,Barbados,2020-04-11,281646,51.0,0.0,0.0,0.0
North America,Barbados,2020-04-12,281646,67.0,16.0,4.0,4.0
North America,Barbados,2020-04-13,281646,67.0,0.0,4.0,0.0
North America,Barbados,2020-04-14,281646,67.0,0.0,4.0,0.0
North America,Barbados,2020-04-15,281646,67.0,0.0,4.0,0.0
North America,Barbados,2020-04-16,281646,67.0,0.0,4.0,0.0
North America,Barbados,2020-04-17,281646,67.0,0.0,4.0,0.0
North America,Barbados,2020-04-18,281646,67.0,0.0,4.0,0.0
North America,Barbados,2020-04-19,281646,75.0,8.0,5.0,1.0
North America,Barbados,2020-04-20,281646,75.0,0.0,5.0,0.0
North America,Barbados,2020-04-21,281646,75.0,0.0,5.0,0.0
North America,Barbados,2020-04-22,281646,75.0,0.0,5.0,0.0
North America,Barbados,2020-04-23,281646,75.0,0.0,5.0,0.0
North America,Barbados,2020-04-24,281646,75.0,0.0,5.0,0.0
North America,Barbados,2020-04-25,281646,75.0,0.0,5.0,0.0
North America,Barbados,2020-04-26,281646,77.0,2.0,6.0,1.0
North America,Barbados,2020-04-27,281646,77.0,0.0,6.0,0.0
North America,Barbados,2020-04-28,281646,77.0,0.0,6.0,0.0
North America,Barbados,2020-04-29,281646,77.0,0.0,6.0,0.0
North America,Barbados,2020-04-30,281646,77.0,0.0,6.0,0.0
North America,Barbados,2020-05-01,281646,77.0,0.0,6.0,0.0
North America,Barbados,2020-05-02,281646,77.0,0.0,6.0,0.0
North America,Barbados,2020-05-03,281646,81.0,4.0,7.0,1.0
North America,Barbados,2020-05-04,281646,81.0,0.0,7.0,0.0
North America,Barbados,2020-05-05,281646,81.0,0.0,7.0,0.0
North America,Barbados,2020-05-06,281646,81.0,0.0,7.0,0.0
North America,Barbados,2020-05-07,281646,81.0,0.0,7.0,0.0
North America,Barbados,2020-05-08,281646,81.0,0.0,7.0,0.0
North America,Barbados,2020-05-09,281646,81.0,0.0,7.0,0.0
North America,Barbados,2020-05-10,281646,82.0,1.0,7.0,0.0
North America,Barbados,2020-05-11,281646,82.0,0.0,7.0,0.0
North America,Barbados,2020-05-12,281646,82.0,0.0,7.0,0.0
North America,Barbados,2020-05-13,281646,82.0,0.0,7.0,0.0
North America,Barbados,2020-05-14,281646,82.0,0.0,7.0,0.0
North America,Barbados,2020-05-15,281646,82.0,0.0,7.0,0.0
North America,Barbados,2020-05-16,281646,82.0,0.0,7.0,0.0
North America,Barbados,2020-05-17,281646,85.0,3.0,7.0,0.0
North America,Barbados,2020-05-18,281646,85.0,0.0,7.0,0.0
North America,Barbados,2020-05-19,281646,85.0,0.0,7.0,0.0
North America,Barbados,2020-05-20,281646,85.0,0.0,7.0,0.0
North America,Barbados,2020-05-21,281646,85.0,0.0,7.0,0.0
North America,Barbados,2020-05-22,281646,85.0,0.0,7.0,0.0
North America,Barbados,2020-05-23,281646,85.0,0.0,7.0,0.0
North America,Barbados,2020-05-24,281646,90.0,5.0,7.0,0.0
North America,Barbados,2020-05-25,281646,90.0,0.0,7.0,0.0
North America,Barbados,2020-05-26,281646,90.0,0.0,7.0,0.0
North America,Barbados,2020-05-27,281646,90.0,0.0,7.0,0.0
North America,Barbados,2020-05-28,281646,90.0,0.0,7.0,0.0
North America,Barbados,2020-05-29,281646,90.0,0.0,7.0,0.0
North America,Barbados,2020-05-30,281646,90.0,0.0,7.0,0.0
North America,Barbados,2020-05-31,281646,92.0,2.0,7.0,0.0
North America,Barbados,2020-06-01,281646,92.0,0.0,7.0,0.0
North America,Barbados,2020-06-02,281646,92.0,0.0,7.0,0.0
North America,Barbados,2020-06-03,281646,92.0,0.0,7.0,0.0
North America,Barbados,2020-06-04,281646,92.0,0.0,7.0,0.0
North America,Barbados,2020-06-05,281646,92.0,0.0,7.0,0.0
North America,Barbados,2020-06-06,281646,92.0,0.0,7.0,0.0
North America,Barbados,2020-06-07,281646,92.0,0.0,7.0,0.0
North America,Barbados,2020-06-08,281646,92.0,0.0,7.0,0.0
North America,Barbados,2020-06-09,281646,92.0,0.0,7.0,0.0
North America,Barbados,2020-06-10,281646,92.0,0.0,7.0,0.0
North America,Barbados,2020-06-11,281646,92.0,0.0,7.0,0.0
North America,Barbados,2020-06-12,281646,92.0,0.0,7.0,0.0
North America,Barbados,2020-06-13,281646,92.0,0.0,7.0,0.0
North America,Barbados,2020-06-14,281646,96.0,4.0,7.0,0.0
North America,Barbados,2020-06-15,281646,96.0,0.0,7.0,0.0
North America,Barbados,2020-06-16,281646,96.0,0.0,7.0,0.0
North America,Barbados,2020-06-17,281646,96.0,0.0,7.0,0.0
North America,Barbados,2020-06-18,281646,96.0,0.0,7.0,0.0
North America,Barbados,2020-06-19,281646,96.0,0.0,7.0,0.0
North America,Barbados,2020-06-20,281646,96.0,0.0,7.0,0.0
North America,Barbados,2020-06-21,281646,97.0,1.0,7.0,0.0
North America,Barbados,2020-06-22,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-06-23,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-06-24,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-06-25,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-06-26,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-06-27,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-06-28,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-06-29,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-06-30,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-07-01,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-07-02,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-07-03,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-07-04,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-07-05,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-07-06,281646,97.0,0.0,7.0,0.0
North America,Barbados,2020-07-07,281646,97.0,0.0,7.0,0.0
