continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Belarus,2020-01-05,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-06,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-07,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-08,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-09,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-10,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-11,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-12,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-13,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-14,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-15,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-16,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-17,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-18,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-19,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-20,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-21,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-22,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-23,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-24,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-25,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-26,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-27,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-28,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-29,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-30,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-01-31,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-01,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-02,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-03,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-04,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-05,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-06,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-07,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-08,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-09,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-10,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-11,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-12,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-13,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-14,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-15,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-16,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-17,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-18,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-19,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-20,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-21,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-22,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-23,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-24,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-25,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-26,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-27,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-28,9534956,0.0,0.0,0.0,0.0
Europe,Belarus,2020-02-29,9534956,0.0,0.0,0.0,0.0
