continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Belize,2020-01-05,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-06,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-07,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-08,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-09,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-10,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-11,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-12,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-13,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-14,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-15,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-16,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-17,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-18,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-19,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-20,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-21,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-22,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-23,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-24,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-25,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-26,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-27,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-28,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-29,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-30,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-01-31,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-01,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-02,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-03,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-04,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-05,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-06,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-07,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-08,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-09,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-10,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-11,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-12,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-13,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-14,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-15,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-16,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-17,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-18,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-19,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-20,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-21,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-22,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-23,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-24,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-25,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-26,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-27,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-28,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-02-29,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-01,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-02,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-03,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-04,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-05,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-06,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-07,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-08,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-09,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-10,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-11,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-12,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-13,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-14,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-15,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-16,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-17,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-18,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-19,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-20,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-21,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-22,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-23,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-24,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-25,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-26,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-27,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-28,405285,0.0,0.0,0.0,0.0
North America,Belize,2020-03-29,405285,2.0,2.0,0.0,0.0
North America,Belize,2020-03-30,405285,2.0,0.0,0.0,0.0
North America,Belize,2020-03-31,405285,2.0,0.0,0.0,0.0
North America,Belize,2020-04-01,405285,2.0,0.0,0.0,0.0
North America,Belize,2020-04-02,405285,2.0,0.0,0.0,0.0
North America,Belize,2020-04-03,405285,2.0,0.0,0.0,0.0
North America,Belize,2020-04-04,405285,2.0,0.0,0.0,0.0
North America,Belize,2020-04-05,405285,4.0,2.0,0.0,0.0
North America,Belize,2020-04-06,405285,4.0,0.0,0.0,0.0
North America,Belize,2020-04-07,405285,4.0,0.0,0.0,0.0
North America,Belize,2020-04-08,405285,4.0,0.0,0.0,0.0
North America,Belize,2020-04-09,405285,4.0,0.0,0.0,0.0
North America,Belize,2020-04-10,405285,4.0,0.0,0.0,0.0
North America,Belize,2020-04-11,405285,4.0,0.0,0.0,0.0
North America,Belize,2020-04-12,405285,10.0,6.0,2.0,2.0
North America,Belize,2020-04-13,405285,10.0,0.0,2.0,0.0
North America,Belize,2020-04-14,405285,10.0,0.0,2.0,0.0
North America,Belize,2020-04-15,405285,10.0,0.0,2.0,0.0
North America,Belize,2020-04-16,405285,10.0,0.0,2.0,0.0
North America,Belize,2020-04-17,405285,10.0,0.0,2.0,0.0
North America,Belize,2020-04-18,405285,10.0,0.0,2.0,0.0
North America,Belize,2020-04-19,405285,18.0,8.0,2.0,0.0
North America,Belize,2020-04-20,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-04-21,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-04-22,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-04-23,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-04-24,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-04-25,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-04-26,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-04-27,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-04-28,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-04-29,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-04-30,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-01,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-02,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-03,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-04,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-05,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-06,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-07,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-08,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-09,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-10,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-11,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-12,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-13,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-14,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-15,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-16,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-17,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-18,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-19,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-20,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-21,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-22,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-23,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-24,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-25,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-26,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-27,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-28,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-29,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-30,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-05-31,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-06-01,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-06-02,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-06-03,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-06-04,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-06-05,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-06-06,405285,18.0,0.0,2.0,0.0
North America,Belize,2020-06-07,405285,19.0,1.0,2.0,0.0
North America,Belize,2020-06-08,405285,19.0,0.0,2.0,0.0
North America,Belize,2020-06-09,405285,19.0,0.0,2.0,0.0
North America,Belize,2020-06-10,405285,19.0,0.0,2.0,0.0
North America,Belize,2020-06-11,405285,19.0,0.0,2.0,0.0
North America,Belize,2020-06-12,405285,19.0,0.0,2.0,0.0
North America,Belize,2020-06-13,405285,19.0,0.0,2.0,0.0
North America,Belize,2020-06-14,405285,20.0,1.0,2.0,0.0
North America,Belize,2020-06-15,405285,20.0,0.0,2.0,0.0
North America,Belize,2020-06-16,405285,20.0,0.0,2.0,0.0
North America,Belize,2020-06-17,405285,20.0,0.0,2.0,0.0
North America,Belize,2020-06-18,405285,20.0,0.0,2.0,0.0
North America,Belize,2020-06-19,405285,20.0,0.0,2.0,0.0
North America,Belize,2020-06-20,405285,20.0,0.0,2.0,0.0
North America,Belize,2020-06-21,405285,22.0,2.0,2.0,0.0
North America,Belize,2020-06-22,405285,22.0,0.0,2.0,0.0
North America,Belize,2020-06-23,405285,22.0,0.0,2.0,0.0
North America,Belize,2020-06-24,405285,22.0,0.0,2.0,0.0
North America,Belize,2020-06-25,405285,22.0,0.0,2.0,0.0
North America,Belize,2020-06-26,405285,22.0,0.0,2.0,0.0
North America,Belize,2020-06-27,405285,22.0,0.0,2.0,0.0
North America,Belize,2020-06-28,405285,24.0,2.0,2.0,0.0
North America,Belize,2020-06-29,405285,24.0,0.0,2.0,0.0
North America,Belize,2020-06-30,405285,24.0,0.0,2.0,0.0
North America,Belize,2020-07-01,405285,24.0,0.0,2.0,0.0
North America,Belize,2020-07-02,405285,24.0,0.0,2.0,0.0
North America,Belize,2020-07-03,405285,24.0,0.0,2.0,0.0
North America,Belize,2020-07-04,405285,24.0,0.0,2.0,0.0
North America,Belize,2020-07-05,405285,30.0,6.0,2.0,0.0
North America,Belize,2020-07-06,405285,30.0,0.0,2.0,0.0
North America,Belize,2020-07-07,405285,30.0,0.0,2.0,0.0
North America,Belize,2020-07-08,405285,30.0,0.0,2.0,0.0
North America,Belize,2020-07-09,405285,30.0,0.0,2.0,0.0
North America,Belize,2020-07-10,405285,30.0,0.0,2.0,0.0
North America,Belize,2020-07-11,405285,30.0,0.0,2.0,0.0
North America,Belize,2020-07-12,405285,37.0,7.0,2.0,0.0
North America,Belize,2020-07-13,405285,37.0,0.0,2.0,0.0
North America,Belize,2020-07-14,405285,37.0,0.0,2.0,0.0
North America,Belize,2020-07-15,405285,37.0,0.0,2.0,0.0
North America,Belize,2020-07-16,405285,37.0,0.0,2.0,0.0
North America,Belize,2020-07-17,405285,37.0,0.0,2.0,0.0
North America,Belize,2020-07-18,405285,37.0,0.0,2.0,0.0
North America,Belize,2020-07-19,405285,40.0,3.0,2.0,0.0
North America,Belize,2020-07-20,405285,40.0,0.0,2.0,0.0
North America,Belize,2020-07-21,405285,40.0,0.0,2.0,0.0
North America,Belize,2020-07-22,405285,40.0,0.0,2.0,0.0
North America,Belize,2020-07-23,405285,40.0,0.0,2.0,0.0
North America,Belize,2020-07-24,405285,40.0,0.0,2.0,0.0
North America,Belize,2020-07-25,405285,40.0,0.0,2.0,0.0
North America,Belize,2020-07-26,405285,48.0,8.0,2.0,0.0
North America,Belize,2020-07-27,405285,48.0,0.0,2.0,0.0
North America,Belize,2020-07-28,405285,48.0,0.0,2.0,0.0
North America,Belize,2020-07-29,405285,48.0,0.0,2.0,0.0
North America,Belize,2020-07-30,405285,48.0,0.0,2.0,0.0
North America,Belize,2020-07-31,405285,48.0,0.0,2.0,0.0
North America,Belize,2020-08-01,405285,48.0,0.0,2.0,0.0
North America,Belize,2020-08-02,405285,48.0,0.0,2.0,0.0
North America,Belize,2020-08-03,405285,48.0,0.0,2.0,0.0
North America,Belize,2020-08-04,405285,48.0,0.0,2.0,0.0
