continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Bermuda,2020-01-05,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-06,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-07,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-08,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-09,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-10,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-11,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-12,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-13,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-14,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-15,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-16,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-17,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-18,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-19,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-20,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-21,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-22,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-23,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-24,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-25,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-26,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-27,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-28,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-29,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-30,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-01-31,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-01,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-02,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-03,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-04,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-05,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-06,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-07,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-08,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-09,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-10,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-11,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-12,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-13,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-14,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-15,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-16,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-17,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-18,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-19,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-20,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-21,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-22,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-23,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-24,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-25,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-26,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-27,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-28,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-02-29,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-01,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-02,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-03,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-04,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-05,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-06,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-07,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-08,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-09,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-10,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-11,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-12,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-13,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-14,64207,0.0,0.0,0.0,0.0
North America,Bermuda,2020-03-15,64207,0.0,0.0,0.0,0.0
