continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Bhutan,2020-01-05,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-06,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-07,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-08,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-09,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-10,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-11,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-12,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-13,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-14,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-15,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-16,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-17,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-18,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-19,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-20,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-21,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-22,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-23,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-24,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-25,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-26,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-27,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-28,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-29,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-30,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-01-31,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-01,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-02,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-03,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-04,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-05,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-06,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-07,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-08,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-09,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-10,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-11,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-12,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-13,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-14,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-15,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-16,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-17,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-18,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-19,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-20,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-21,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-22,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-23,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-24,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-25,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-26,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-27,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-28,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-02-29,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-03-01,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-03-02,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-03-03,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-03-04,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-03-05,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-03-06,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-03-07,782457,0.0,0.0,0.0,0.0
Asia,Bhutan,2020-03-08,782457,1.0,1.0,0.0,0.0
