continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
South America,Brazil,2020-01-05,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-06,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-07,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-08,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-09,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-10,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-11,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-12,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-13,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-14,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-15,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-16,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-17,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-18,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-19,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-20,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-21,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-22,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-23,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-24,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-25,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-26,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-27,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-28,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-29,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-30,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-01-31,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-01,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-02,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-03,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-04,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-05,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-06,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-07,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-08,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-09,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-10,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-11,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-12,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-13,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-14,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-15,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-16,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-17,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-18,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-19,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-20,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-21,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-22,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-23,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-24,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-25,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-26,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-27,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-28,215313504,0.0,0.0,0.0,0.0
South America,Brazil,2020-02-29,215313504,0.0,0.0,0.0,0.0
