continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,British Virgin Islands,2020-01-05,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-06,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-07,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-08,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-09,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-10,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-11,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-12,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-13,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-14,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-15,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-16,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-17,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-18,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-19,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-20,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-21,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-22,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-23,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-24,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-25,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-26,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-27,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-28,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-29,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-30,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-01-31,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-01,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-02,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-03,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-04,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-05,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-06,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-07,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-08,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-09,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-10,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-11,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-12,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-13,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-14,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-15,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-16,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-17,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-18,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-19,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-20,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-21,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-22,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-23,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-24,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-25,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-26,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-27,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-28,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-02-29,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-01,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-02,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-03,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-04,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-05,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-06,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-07,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-08,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-09,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-10,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-11,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-12,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-13,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-14,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-15,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-16,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-17,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-18,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-19,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-20,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-21,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-22,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-23,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-24,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-25,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-26,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-27,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-28,31332,0.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-29,31332,2.0,2.0,0.0,0.0
North America,British Virgin Islands,2020-03-30,31332,2.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-03-31,31332,2.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-01,31332,2.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-02,31332,2.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-03,31332,2.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-04,31332,2.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-05,31332,3.0,1.0,0.0,0.0
North America,British Virgin Islands,2020-04-06,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-07,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-08,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-09,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-10,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-11,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-12,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-13,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-14,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-15,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-16,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-17,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-18,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-19,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-20,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-21,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-22,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-23,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-24,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-25,31332,3.0,0.0,0.0,0.0
North America,British Virgin Islands,2020-04-26,31332,6.0,3.0,1.0,1.0
North America,British Virgin Islands,2020-04-27,31332,6.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-04-28,31332,6.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-04-29,31332,6.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-04-30,31332,6.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-01,31332,6.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-02,31332,6.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-03,31332,6.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-04,31332,6.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-05,31332,6.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-06,31332,6.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-07,31332,6.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-08,31332,6.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-09,31332,6.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-10,31332,7.0,1.0,1.0,0.0
North America,British Virgin Islands,2020-05-11,31332,7.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-12,31332,7.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-13,31332,7.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-14,31332,7.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-15,31332,7.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-16,31332,7.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-17,31332,8.0,1.0,1.0,0.0
North America,British Virgin Islands,2020-05-18,31332,8.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-19,31332,8.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-20,31332,8.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-21,31332,8.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-22,31332,8.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-23,31332,8.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-24,31332,8.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-25,31332,8.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-26,31332,8.0,0.0,1.0,0.0
North America,British Virgin Islands,2020-05-27,31332,8.0,0.0,1.0,0.0
