continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Brunei,2020-01-05,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-06,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-07,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-08,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-09,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-10,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-11,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-12,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-13,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-14,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-15,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-16,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-17,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-18,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-19,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-20,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-21,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-22,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-23,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-24,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-25,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-26,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-27,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-28,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-29,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-30,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-01-31,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-01,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-02,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-03,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-04,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-05,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-06,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-07,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-08,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-09,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-10,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-11,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-12,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-13,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-14,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-15,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-16,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-17,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-18,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-19,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-20,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-21,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-22,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-23,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-24,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-25,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-26,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-27,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-28,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-02-29,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-01,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-02,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-03,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-04,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-05,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-06,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-07,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-08,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-09,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-10,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-11,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-12,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-13,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-14,449002,0.0,0.0,0.0,0.0
Asia,Brunei,2020-03-15,449002,40.0,40.0,0.0,0.0
Asia,Brunei,2020-03-16,449002,40.0,0.0,0.0,0.0
Asia,Brunei,2020-03-17,449002,40.0,0.0,0.0,0.0
Asia,Brunei,2020-03-18,449002,40.0,0.0,0.0,0.0
Asia,Brunei,2020-03-19,449002,40.0,0.0,0.0,0.0
Asia,Brunei,2020-03-20,449002,40.0,0.0,0.0,0.0
Asia,Brunei,2020-03-21,449002,40.0,0.0,0.0,0.0
Asia,Brunei,2020-03-22,449002,83.0,43.0,0.0,0.0
Asia,Brunei,2020-03-23,449002,83.0,0.0,0.0,0.0
Asia,Brunei,2020-03-24,449002,83.0,0.0,0.0,0.0
Asia,Brunei,2020-03-25,449002,83.0,0.0,0.0,0.0
Asia,Brunei,2020-03-26,449002,83.0,0.0,0.0,0.0
Asia,Brunei,2020-03-27,449002,83.0,0.0,0.0,0.0
Asia,Brunei,2020-03-28,449002,83.0,0.0,0.0,0.0
Asia,Brunei,2020-03-29,449002,120.0,37.0,1.0,1.0
Asia,Brunei,2020-03-30,449002,120.0,0.0,1.0,0.0
Asia,Brunei,2020-03-31,449002,120.0,0.0,1.0,0.0
Asia,Brunei,2020-04-01,449002,120.0,0.0,1.0,0.0
Asia,Brunei,2020-04-02,449002,120.0,0.0,1.0,0.0
Asia,Brunei,2020-04-03,449002,120.0,0.0,1.0,0.0
Asia,Brunei,2020-04-04,449002,120.0,0.0,1.0,0.0
Asia,Brunei,2020-04-05,449002,135.0,15.0,1.0,0.0
Asia,Brunei,2020-04-06,449002,135.0,0.0,1.0,0.0
Asia,Brunei,2020-04-07,449002,135.0,0.0,1.0,0.0
Asia,Brunei,2020-04-08,449002,135.0,0.0,1.0,0.0
Asia,Brunei,2020-04-09,449002,135.0,0.0,1.0,0.0
Asia,Brunei,2020-04-10,449002,135.0,0.0,1.0,0.0
Asia,Brunei,2020-04-11,449002,135.0,0.0,1.0,0.0
Asia,Brunei,2020-04-12,449002,136.0,1.0,1.0,0.0
Asia,Brunei,2020-04-13,449002,136.0,0.0,1.0,0.0
Asia,Brunei,2020-04-14,449002,136.0,0.0,1.0,0.0
Asia,Brunei,2020-04-15,449002,136.0,0.0,1.0,0.0
Asia,Brunei,2020-04-16,449002,136.0,0.0,1.0,0.0
Asia,Brunei,2020-04-17,449002,136.0,0.0,1.0,0.0
Asia,Brunei,2020-04-18,449002,136.0,0.0,1.0,0.0
Asia,Brunei,2020-04-19,449002,137.0,1.0,1.0,0.0
Asia,Brunei,2020-04-20,449002,137.0,0.0,1.0,0.0
Asia,Brunei,2020-04-21,449002,137.0,0.0,1.0,0.0
Asia,Brunei,2020-04-22,449002,137.0,0.0,1.0,0.0
Asia,Brunei,2020-04-23,449002,137.0,0.0,1.0,0.0
Asia,Brunei,2020-04-24,449002,137.0,0.0,1.0,0.0
Asia,Brunei,2020-04-25,449002,137.0,0.0,1.0,0.0
Asia,Brunei,2020-04-26,449002,138.0,1.0,1.0,0.0
Asia,Brunei,2020-04-27,449002,138.0,0.0,1.0,0.0
Asia,Brunei,2020-04-28,449002,138.0,0.0,1.0,0.0
Asia,Brunei,2020-04-29,449002,138.0,0.0,1.0,0.0
Asia,Brunei,2020-04-30,449002,138.0,0.0,1.0,0.0
Asia,Brunei,2020-05-01,449002,138.0,0.0,1.0,0.0
Asia,Brunei,2020-05-02,449002,138.0,0.0,1.0,0.0
Asia,Brunei,2020-05-03,449002,138.0,0.0,1.0,0.0
Asia,Brunei,2020-05-04,449002,138.0,0.0,1.0,0.0
Asia,Brunei,2020-05-05,449002,138.0,0.0,1.0,0.0
Asia,Brunei,2020-05-06,449002,138.0,0.0,1.0,0.0
Asia,Brunei,2020-05-07,449002,138.0,0.0,1.0,0.0
Asia,Brunei,2020-05-08,449002,138.0,0.0,1.0,0.0
Asia,Brunei,2020-05-09,449002,138.0,0.0,1.0,0.0
Asia,Brunei,2020-05-10,449002,141.0,3.0,1.0,0.0
Asia,Brunei,2020-05-11,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-12,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-13,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-14,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-15,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-16,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-17,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-18,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-19,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-20,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-21,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-22,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-23,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-24,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-25,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-26,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-27,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-28,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-29,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-30,449002,141.0,0.0,1.0,0.0
Asia,Brunei,2020-05-31,449002,141.0,0.0,2.0,1.0
Asia,Brunei,2020-06-01,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-02,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-03,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-04,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-05,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-06,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-07,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-08,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-09,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-10,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-11,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-12,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-13,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-14,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-15,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-16,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-17,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-18,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-19,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-20,449002,141.0,0.0,2.0,0.0
Asia,Brunei,2020-06-21,449002,141.0,0.0,3.0,1.0
Asia,Brunei,2020-06-22,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-06-23,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-06-24,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-06-25,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-06-26,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-06-27,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-06-28,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-06-29,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-06-30,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-01,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-02,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-03,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-04,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-05,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-06,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-07,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-08,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-09,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-10,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-11,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-12,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-13,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-14,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-15,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-16,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-17,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-18,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-19,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-20,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-21,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-22,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-23,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-24,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-25,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-26,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-27,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-28,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-29,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-30,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-07-31,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-08-01,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-08-02,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-08-03,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-08-04,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-08-05,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-08-06,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-08-07,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-08-08,449002,141.0,0.0,3.0,0.0
Asia,Brunei,2020-08-09,449002,142.0,1.0,3.0,0.0
Asia,Brunei,2020-08-10,449002,142.0,0.0,3.0,0.0
Asia,Brunei,2020-08-11,449002,142.0,0.0,3.0,0.0
Asia,Brunei,2020-08-12,449002,142.0,0.0,3.0,0.0
Asia,Brunei,2020-08-13,449002,142.0,0.0,3.0,0.0
Asia,Brunei,2020-08-14,449002,142.0,0.0,3.0,0.0
Asia,Brunei,2020-08-15,449002,142.0,0.0,3.0,0.0
Asia,Brunei,2020-08-16,449002,142.0,0.0,3.0,0.0
Asia,Brunei,2020-08-17,449002,142.0,0.0,3.0,0.0
Asia,Brunei,2020-08-18,449002,142.0,0.0,3.0,0.0
Asia,Brunei,2020-08-19,449002,142.0,0.0,3.0,0.0
Asia,Brunei,2020-08-20,449002,142.0,0.0,3.0,0.0
Asia,Brunei,2020-08-21,449002,142.0,0.0,3.0,0.0
Asia,Brunei,2020-08-22,449002,142.0,0.0,3.0,0.0
Asia,Brunei,2020-08-23,449002,143.0,1.0,3.0,0.0
Asia,Brunei,2020-08-24,449002,143.0,0.0,3.0,0.0
Asia,Brunei,2020-08-25,449002,143.0,0.0,3.0,0.0
Asia,Brunei,2020-08-26,449002,143.0,0.0,3.0,0.0
Asia,Brunei,2020-08-27,449002,143.0,0.0,3.0,0.0
Asia,Brunei,2020-08-28,449002,143.0,0.0,3.0,0.0
Asia,Brunei,2020-08-29,449002,143.0,0.0,3.0,0.0
Asia,Brunei,2020-08-30,449002,144.0,1.0,3.0,0.0
Asia,Brunei,2020-08-31,449002,144.0,0.0,3.0,0.0
Asia,Brunei,2020-09-01,449002,144.0,0.0,3.0,0.0
Asia,Brunei,2020-09-02,449002,144.0,0.0,3.0,0.0
Asia,Brunei,2020-09-03,449002,144.0,0.0,3.0,0.0
Asia,Brunei,2020-09-04,449002,144.0,0.0,3.0,0.0
Asia,Brunei,2020-09-05,449002,144.0,0.0,3.0,0.0
Asia,Brunei,2020-09-06,449002,145.0,1.0,3.0,0.0
Asia,Brunei,2020-09-07,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-08,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-09,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-10,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-11,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-12,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-13,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-14,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-15,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-16,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-17,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-18,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-19,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-20,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-21,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-22,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-23,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-24,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-25,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-26,449002,145.0,0.0,3.0,0.0
Asia,Brunei,2020-09-27,449002,146.0,1.0,3.0,0.0
Asia,Brunei,2020-09-28,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-09-29,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-09-30,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-01,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-02,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-03,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-04,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-05,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-06,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-07,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-08,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-09,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-10,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-11,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-12,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-13,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-14,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-15,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-16,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-17,449002,146.0,0.0,3.0,0.0
Asia,Brunei,2020-10-18,449002,147.0,1.0,3.0,0.0
Asia,Brunei,2020-10-19,449002,147.0,0.0,3.0,0.0
Asia,Brunei,2020-10-20,449002,147.0,0.0,3.0,0.0
