continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Canada,2020-01-05,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-06,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-07,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-08,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-09,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-10,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-11,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-12,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-13,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-14,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-15,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-16,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-17,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-18,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-19,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-20,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-21,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-22,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-23,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-24,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-25,38454328,0.0,0.0,0.0,0.0
North America,Canada,2020-01-26,38454328,1.0,1.0,0.0,0.0
North America,Canada,2020-01-27,38454328,1.0,0.0,0.0,0.0
North America,Canada,2020-01-28,38454328,1.0,0.0,0.0,0.0
North America,Canada,2020-01-29,38454328,1.0,0.0,0.0,0.0
North America,Canada,2020-01-30,38454328,1.0,0.0,0.0,0.0
North America,Canada,2020-01-31,38454328,1.0,0.0,0.0,0.0
North America,Canada,2020-02-01,38454328,1.0,0.0,0.0,0.0
North America,Canada,2020-02-02,38454328,4.0,3.0,0.0,0.0
North America,Canada,2020-02-03,38454328,4.0,0.0,0.0,0.0
North America,Canada,2020-02-04,38454328,4.0,0.0,0.0,0.0
North America,Canada,2020-02-05,38454328,4.0,0.0,0.0,0.0
North America,Canada,2020-02-06,38454328,4.0,0.0,0.0,0.0
North America,Canada,2020-02-07,38454328,4.0,0.0,0.0,0.0
North America,Canada,2020-02-08,38454328,4.0,0.0,0.0,0.0
North America,Canada,2020-02-09,38454328,7.0,3.0,0.0,0.0
North America,Canada,2020-02-10,38454328,7.0,0.0,0.0,0.0
North America,Canada,2020-02-11,38454328,7.0,0.0,0.0,0.0
North America,Canada,2020-02-12,38454328,7.0,0.0,0.0,0.0
North America,Canada,2020-02-13,38454328,7.0,0.0,0.0,0.0
North America,Canada,2020-02-14,38454328,7.0,0.0,0.0,0.0
North America,Canada,2020-02-15,38454328,7.0,0.0,0.0,0.0
North America,Canada,2020-02-16,38454328,7.0,0.0,0.0,0.0
