continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Africa,Chad,2020-01-05,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-06,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-07,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-08,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-09,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-10,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-11,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-12,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-13,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-14,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-15,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-16,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-17,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-18,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-19,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-20,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-21,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-22,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-23,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-24,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-25,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-26,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-27,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-28,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-29,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-30,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-01-31,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-01,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-02,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-03,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-04,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-05,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-06,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-07,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-08,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-09,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-10,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-11,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-12,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-13,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-14,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-15,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-16,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-17,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-18,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-19,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-20,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-21,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-22,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-23,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-24,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-25,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-26,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-27,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-28,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-02-29,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-03-01,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-03-02,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-03-03,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-03-04,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-03-05,17723312,0.0,0.0,0.0,0.0
Africa,Chad,2020-03-06,17723312,0.0,0.0,0.0,0.0
