continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
South America,Colombia,2020-01-05,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-06,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-07,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-08,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-09,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-10,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-11,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-12,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-13,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-14,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-15,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-16,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-17,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-18,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-19,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-20,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-21,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-22,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-23,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-24,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-25,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-26,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-27,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-28,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-29,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-30,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-01-31,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-01,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-02,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-03,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-04,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-05,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-06,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-07,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-08,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-09,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-10,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-11,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-12,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-13,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-14,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-15,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-16,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-17,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-18,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-19,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-20,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-21,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-22,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-23,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-24,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-25,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-26,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-27,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-28,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-02-29,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-03-01,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-03-02,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-03-03,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-03-04,51874028,0.0,0.0,0.0,0.0
South America,Colombia,2020-03-05,51874028,0.0,0.0,0.0,0.0
