continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Croatia,2020-01-05,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-06,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-07,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-08,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-09,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-10,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-11,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-12,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-13,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-14,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-15,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-16,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-17,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-18,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-19,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-20,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-21,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-22,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-23,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-24,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-25,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-26,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-27,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-28,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-29,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-30,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-01-31,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-01,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-02,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-03,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-04,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-05,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-06,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-07,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-08,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-09,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-10,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-11,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-12,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-13,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-14,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-15,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-16,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-17,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-18,4030361,0.0,0.0,0.0,0.0
Europe,Croatia,2020-02-19,4030361,0.0,0.0,0.0,0.0
