continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Curacao,2020-01-05,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-06,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-07,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-08,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-09,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-10,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-11,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-12,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-13,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-14,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-15,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-16,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-17,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-18,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-19,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-20,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-21,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-22,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-23,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-24,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-25,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-26,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-27,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-28,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-29,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-30,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-01-31,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-01,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-02,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-03,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-04,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-05,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-06,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-07,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-08,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-09,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-10,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-11,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-12,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-13,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-14,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-15,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-16,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-17,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-18,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-19,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-20,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-21,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-22,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-23,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-24,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-25,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-26,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-27,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-28,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-02-29,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-01,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-02,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-03,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-04,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-05,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-06,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-07,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-08,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-09,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-10,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-11,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-12,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-13,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-14,191173,0.0,0.0,0.0,0.0
North America,Curacao,2020-03-15,191173,1.0,1.0,0.0,0.0
North America,Curacao,2020-03-16,191173,1.0,0.0,0.0,0.0
North America,Curacao,2020-03-17,191173,1.0,0.0,0.0,0.0
North America,Curacao,2020-03-18,191173,1.0,0.0,0.0,0.0
North America,Curacao,2020-03-19,191173,1.0,0.0,0.0,0.0
North America,Curacao,2020-03-20,191173,1.0,0.0,0.0,0.0
North America,Curacao,2020-03-21,191173,1.0,0.0,0.0,0.0
North America,Curacao,2020-03-22,191173,3.0,2.0,1.0,1.0
North America,Curacao,2020-03-23,191173,3.0,0.0,1.0,0.0
North America,Curacao,2020-03-24,191173,3.0,0.0,1.0,0.0
North America,Curacao,2020-03-25,191173,3.0,0.0,1.0,0.0
North America,Curacao,2020-03-26,191173,3.0,0.0,1.0,0.0
North America,Curacao,2020-03-27,191173,3.0,0.0,1.0,0.0
North America,Curacao,2020-03-28,191173,3.0,0.0,1.0,0.0
North America,Curacao,2020-03-29,191173,7.0,4.0,1.0,0.0
North America,Curacao,2020-03-30,191173,7.0,0.0,1.0,0.0
North America,Curacao,2020-03-31,191173,7.0,0.0,1.0,0.0
North America,Curacao,2020-04-01,191173,7.0,0.0,1.0,0.0
North America,Curacao,2020-04-02,191173,7.0,0.0,1.0,0.0
North America,Curacao,2020-04-03,191173,7.0,0.0,1.0,0.0
North America,Curacao,2020-04-04,191173,7.0,0.0,1.0,0.0
North America,Curacao,2020-04-05,191173,11.0,4.0,1.0,0.0
North America,Curacao,2020-04-06,191173,11.0,0.0,1.0,0.0
North America,Curacao,2020-04-07,191173,11.0,0.0,1.0,0.0
North America,Curacao,2020-04-08,191173,11.0,0.0,1.0,0.0
North America,Curacao,2020-04-09,191173,11.0,0.0,1.0,0.0
North America,Curacao,2020-04-10,191173,11.0,0.0,1.0,0.0
North America,Curacao,2020-04-11,191173,11.0,0.0,1.0,0.0
North America,Curacao,2020-04-12,191173,14.0,3.0,1.0,0.0
North America,Curacao,2020-04-13,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-14,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-15,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-16,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-17,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-18,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-19,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-20,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-21,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-22,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-23,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-24,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-25,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-26,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-27,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-28,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-29,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-04-30,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-05-01,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-05-02,191173,14.0,0.0,1.0,0.0
North America,Curacao,2020-05-03,191173,16.0,2.0,1.0,0.0
North America,Curacao,2020-05-04,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-05,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-06,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-07,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-08,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-09,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-10,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-11,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-12,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-13,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-14,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-15,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-16,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-17,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-18,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-19,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-20,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-21,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-22,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-23,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-24,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-25,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-26,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-27,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-28,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-29,191173,16.0,0.0,1.0,0.0
North America,Curacao,2020-05-30,191173,16.0,0.0,1.0,0.0
