continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Cyprus,2020-01-05,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-06,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-07,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-08,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-09,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-10,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-11,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-12,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-13,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-14,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-15,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-16,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-17,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-18,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-19,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-20,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-21,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-22,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-23,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-24,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-25,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-26,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-27,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-28,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-29,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-30,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-01-31,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-01,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-02,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-03,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-04,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-05,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-06,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-07,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-08,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-09,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-10,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-11,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-12,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-13,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-14,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-15,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-16,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-17,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-18,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-19,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-20,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-21,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-22,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-23,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-24,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-25,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-26,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-27,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-28,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-02-29,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-01,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-02,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-03,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-04,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-05,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-06,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-07,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-08,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-09,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-10,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-11,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-12,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-13,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-14,896007,0.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-15,896007,21.0,21.0,0.0,0.0
Europe,Cyprus,2020-03-16,896007,21.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-17,896007,21.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-18,896007,21.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-19,896007,21.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-20,896007,21.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-21,896007,21.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-22,896007,84.0,63.0,0.0,0.0
Europe,Cyprus,2020-03-23,896007,84.0,0.0,0.0,0.0
Europe,Cyprus,2020-03-24,896007,84.0,0.0,0.0,0.0
