continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Africa,Democratic Republic of Congo,2020-01-05,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-06,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-07,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-08,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-09,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-10,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-11,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-12,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-13,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-14,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-15,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-16,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-17,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-18,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-19,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-20,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-21,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-22,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-23,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-24,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-25,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-26,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-27,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-28,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-29,99010216,0.0,0.0,0.0,0.0
Africa,Democratic Republic of Congo,2020-01-30,99010216,0.0,0.0,0.0,0.0
