continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Denmark,2020-01-05,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-06,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-07,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-08,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-09,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-10,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-11,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-12,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-13,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-14,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-15,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-16,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-17,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-18,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-19,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-20,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-21,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-22,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-23,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-24,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-25,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-26,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-27,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-28,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-29,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-30,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-01-31,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-02-01,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-02-02,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-02-03,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-02-04,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-02-05,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-02-06,5882259,0.0,0.0,0.0,0.0
Europe,Denmark,2020-02-07,5882259,0.0,0.0,0.0,0.0
