continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Dominica,2020-01-05,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-06,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-07,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-08,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-09,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-10,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-11,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-12,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-13,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-14,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-15,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-16,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-17,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-18,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-19,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-20,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-21,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-22,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-23,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-24,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-25,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-26,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-27,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-28,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-29,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-30,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-01-31,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-01,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-02,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-03,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-04,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-05,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-06,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-07,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-08,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-09,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-10,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-11,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-12,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-13,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-14,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-15,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-16,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-17,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-18,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-19,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-20,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-21,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-22,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-23,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-24,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-25,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-26,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-27,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-28,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-02-29,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-01,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-02,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-03,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-04,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-05,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-06,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-07,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-08,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-09,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-10,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-11,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-12,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-13,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-14,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-15,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-16,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-17,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-18,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-19,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-20,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-21,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-22,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-23,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-24,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-25,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-26,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-27,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-28,72758,0.0,0.0,0.0,0.0
North America,Dominica,2020-03-29,72758,11.0,11.0,0.0,0.0
North America,Dominica,2020-03-30,72758,11.0,0.0,0.0,0.0
North America,Dominica,2020-03-31,72758,11.0,0.0,0.0,0.0
North America,Dominica,2020-04-01,72758,11.0,0.0,0.0,0.0
North America,Dominica,2020-04-02,72758,11.0,0.0,0.0,0.0
North America,Dominica,2020-04-03,72758,11.0,0.0,0.0,0.0
North America,Dominica,2020-04-04,72758,11.0,0.0,0.0,0.0
North America,Dominica,2020-04-05,72758,11.0,0.0,0.0,0.0
North America,Dominica,2020-04-06,72758,11.0,0.0,0.0,0.0
North America,Dominica,2020-04-07,72758,11.0,0.0,0.0,0.0
North America,Dominica,2020-04-08,72758,11.0,0.0,0.0,0.0
North America,Dominica,2020-04-09,72758,11.0,0.0,0.0,0.0
North America,Dominica,2020-04-10,72758,11.0,0.0,0.0,0.0
North America,Dominica,2020-04-11,72758,11.0,0.0,0.0,0.0
North America,Dominica,2020-04-12,72758,16.0,5.0,0.0,0.0
North America,Dominica,2020-04-13,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-14,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-15,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-16,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-17,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-18,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-19,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-20,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-21,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-22,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-23,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-24,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-25,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-26,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-27,72758,16.0,0.0,0.0,0.0
North America,Dominica,2020-04-28,72758,16.0,0.0,0.0,0.0
