continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
South America,Ecuador,2020-01-05,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-06,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-07,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-08,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-09,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-10,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-11,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-12,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-13,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-14,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-15,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-16,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-17,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-18,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-19,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-20,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-21,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-22,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-23,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-24,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-25,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-26,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-27,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-28,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-29,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-30,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-01-31,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-01,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-02,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-03,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-04,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-05,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-06,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-07,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-08,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-09,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-10,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-11,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-12,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-13,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-14,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-15,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-16,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-17,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-18,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-19,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-20,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-21,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-22,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-23,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-24,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-25,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-26,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-27,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-28,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-02-29,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-03-01,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-03-02,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-03-03,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-03-04,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-03-05,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-03-06,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-03-07,18001002,0.0,0.0,0.0,0.0
South America,Ecuador,2020-03-08,18001002,13.0,13.0,0.0,0.0
South America,Ecuador,2020-03-09,18001002,13.0,0.0,0.0,0.0
South America,Ecuador,2020-03-10,18001002,13.0,0.0,0.0,0.0
South America,Ecuador,2020-03-11,18001002,13.0,0.0,0.0,0.0
South America,Ecuador,2020-03-12,18001002,13.0,0.0,0.0,0.0
South America,Ecuador,2020-03-13,18001002,13.0,0.0,0.0,0.0
South America,Ecuador,2020-03-14,18001002,13.0,0.0,0.0,0.0
South America,Ecuador,2020-03-15,18001002,23.0,10.0,0.0,0.0
South America,Ecuador,2020-03-16,18001002,23.0,0.0,0.0,0.0
South America,Ecuador,2020-03-17,18001002,23.0,0.0,0.0,0.0
South America,Ecuador,2020-03-18,18001002,23.0,0.0,0.0,0.0
South America,Ecuador,2020-03-19,18001002,23.0,0.0,0.0,0.0
South America,Ecuador,2020-03-20,18001002,23.0,0.0,0.0,0.0
South America,Ecuador,2020-03-21,18001002,23.0,0.0,0.0,0.0
South America,Ecuador,2020-03-22,18001002,506.0,483.0,7.0,7.0
