continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Africa,Equatorial Guinea,2020-01-05,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-06,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-07,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-08,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-09,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-10,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-11,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-12,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-13,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-14,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-15,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-16,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-17,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-18,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-19,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-20,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-21,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-22,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-23,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-24,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-25,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-26,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-27,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-28,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-29,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-30,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-01-31,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-01,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-02,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-03,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-04,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-05,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-06,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-07,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-08,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-09,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-10,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-11,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-12,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-13,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-14,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-15,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-16,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-17,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-18,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-19,1674916,0.0,0.0,0.0,0.0
Africa,Equatorial Guinea,2020-02-20,1674916,0.0,0.0,0.0,0.0
