continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Faroe Islands,2020-01-05,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-06,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-07,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-08,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-09,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-10,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-11,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-12,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-13,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-14,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-15,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-16,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-17,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-18,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-19,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-20,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-21,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-22,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-23,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-24,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-25,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-26,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-27,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-28,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-29,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-30,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-01-31,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-01,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-02,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-03,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-04,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-05,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-06,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-07,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-08,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-09,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-10,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-11,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-12,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-13,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-14,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-15,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-16,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-17,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-18,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-19,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-20,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-21,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-22,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-23,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-24,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-25,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-26,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-27,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-28,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-02-29,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-01,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-02,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-03,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-04,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-05,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-06,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-07,53117,0.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-08,53117,2.0,2.0,0.0,0.0
Europe,Faroe Islands,2020-03-09,53117,2.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-10,53117,2.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-11,53117,2.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-12,53117,2.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-13,53117,2.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-14,53117,2.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-15,53117,10.0,8.0,0.0,0.0
Europe,Faroe Islands,2020-03-16,53117,10.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-17,53117,10.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-18,53117,10.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-19,53117,10.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-20,53117,10.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-21,53117,10.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-22,53117,100.0,90.0,0.0,0.0
Europe,Faroe Islands,2020-03-23,53117,100.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-24,53117,100.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-25,53117,100.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-26,53117,100.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-27,53117,100.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-28,53117,100.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-29,53117,156.0,56.0,0.0,0.0
Europe,Faroe Islands,2020-03-30,53117,156.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-03-31,53117,156.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-01,53117,156.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-02,53117,156.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-03,53117,156.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-04,53117,156.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-05,53117,181.0,25.0,0.0,0.0
Europe,Faroe Islands,2020-04-06,53117,181.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-07,53117,181.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-08,53117,181.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-09,53117,181.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-10,53117,181.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-11,53117,181.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-12,53117,184.0,3.0,0.0,0.0
Europe,Faroe Islands,2020-04-13,53117,184.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-14,53117,184.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-15,53117,184.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-16,53117,184.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-17,53117,184.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-18,53117,184.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-19,53117,185.0,1.0,0.0,0.0
Europe,Faroe Islands,2020-04-20,53117,185.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-21,53117,185.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-22,53117,185.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-23,53117,185.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-24,53117,185.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-25,53117,185.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-26,53117,187.0,2.0,0.0,0.0
Europe,Faroe Islands,2020-04-27,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-28,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-29,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-04-30,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-01,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-02,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-03,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-04,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-05,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-06,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-07,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-08,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-09,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-10,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-11,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-12,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-13,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-14,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-15,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-16,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-17,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-18,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-19,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-20,53117,187.0,0.0,0.0,0.0
Europe,Faroe Islands,2020-05-21,53117,187.0,0.0,0.0,0.0
