continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Oceania,Fiji,2020-01-05,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-06,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-07,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-08,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-09,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-10,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-11,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-12,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-13,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-14,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-15,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-16,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-17,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-18,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-19,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-20,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-21,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-22,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-23,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-24,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-25,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-26,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-27,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-28,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-29,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-30,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-01-31,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-01,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-02,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-03,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-04,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-05,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-06,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-07,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-08,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-09,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-10,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-11,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-12,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-13,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-14,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-15,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-16,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-17,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-18,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-19,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-20,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-21,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-22,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-23,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-24,929769,0.0,0.0,0.0,0.0
Oceania,Fiji,2020-02-25,929769,0.0,0.0,0.0,0.0
