continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
South America,French Guiana,2020-01-05,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-06,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-07,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-08,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-09,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-10,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-11,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-12,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-13,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-14,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-15,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-16,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-17,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-18,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-19,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-20,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-21,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-22,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-23,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-24,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-25,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-26,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-27,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-28,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-29,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-30,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-01-31,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-01,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-02,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-03,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-04,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-05,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-06,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-07,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-08,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-09,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-10,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-11,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-12,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-13,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-14,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-15,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-16,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-17,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-18,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-19,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-20,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-21,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-22,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-23,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-24,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-25,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-26,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-27,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-28,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-02-29,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-03-01,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-03-02,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-03-03,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-03-04,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-03-05,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-03-06,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-03-07,304568,0.0,0.0,0.0,0.0
South America,French Guiana,2020-03-08,304568,5.0,5.0,0.0,0.0
South America,French Guiana,2020-03-09,304568,5.0,0.0,0.0,0.0
South America,French Guiana,2020-03-10,304568,5.0,0.0,0.0,0.0
South America,French Guiana,2020-03-11,304568,5.0,0.0,0.0,0.0
South America,French Guiana,2020-03-12,304568,5.0,0.0,0.0,0.0
South America,French Guiana,2020-03-13,304568,5.0,0.0,0.0,0.0
South America,French Guiana,2020-03-14,304568,5.0,0.0,0.0,0.0
South America,French Guiana,2020-03-15,304568,6.0,1.0,0.0,0.0
South America,French Guiana,2020-03-16,304568,6.0,0.0,0.0,0.0
South America,French Guiana,2020-03-17,304568,6.0,0.0,0.0,0.0
South America,French Guiana,2020-03-18,304568,6.0,0.0,0.0,0.0
South America,French Guiana,2020-03-19,304568,6.0,0.0,0.0,0.0
South America,French Guiana,2020-03-20,304568,6.0,0.0,0.0,0.0
South America,French Guiana,2020-03-21,304568,6.0,0.0,0.0,0.0
South America,French Guiana,2020-03-22,304568,15.0,9.0,0.0,0.0
South America,French Guiana,2020-03-23,304568,15.0,0.0,0.0,0.0
South America,French Guiana,2020-03-24,304568,15.0,0.0,0.0,0.0
South America,French Guiana,2020-03-25,304568,15.0,0.0,0.0,0.0
South America,French Guiana,2020-03-26,304568,15.0,0.0,0.0,0.0
South America,French Guiana,2020-03-27,304568,15.0,0.0,0.0,0.0
South America,French Guiana,2020-03-28,304568,15.0,0.0,0.0,0.0
South America,French Guiana,2020-03-29,304568,31.0,16.0,0.0,0.0
South America,French Guiana,2020-03-30,304568,31.0,0.0,0.0,0.0
South America,French Guiana,2020-03-31,304568,31.0,0.0,0.0,0.0
South America,French Guiana,2020-04-01,304568,31.0,0.0,0.0,0.0
South America,French Guiana,2020-04-02,304568,31.0,0.0,0.0,0.0
South America,French Guiana,2020-04-03,304568,31.0,0.0,0.0,0.0
South America,French Guiana,2020-04-04,304568,31.0,0.0,0.0,0.0
South America,French Guiana,2020-04-05,304568,62.0,31.0,0.0,0.0
South America,French Guiana,2020-04-06,304568,62.0,0.0,0.0,0.0
South America,French Guiana,2020-04-07,304568,62.0,0.0,0.0,0.0
South America,French Guiana,2020-04-08,304568,62.0,0.0,0.0,0.0
South America,French Guiana,2020-04-09,304568,62.0,0.0,0.0,0.0
South America,French Guiana,2020-04-10,304568,62.0,0.0,0.0,0.0
South America,French Guiana,2020-04-11,304568,62.0,0.0,0.0,0.0
South America,French Guiana,2020-04-12,304568,86.0,24.0,0.0,0.0
South America,French Guiana,2020-04-13,304568,86.0,0.0,0.0,0.0
South America,French Guiana,2020-04-14,304568,86.0,0.0,0.0,0.0
South America,French Guiana,2020-04-15,304568,86.0,0.0,0.0,0.0
South America,French Guiana,2020-04-16,304568,86.0,0.0,0.0,0.0
South America,French Guiana,2020-04-17,304568,86.0,0.0,0.0,0.0
South America,French Guiana,2020-04-18,304568,86.0,0.0,0.0,0.0
South America,French Guiana,2020-04-19,304568,96.0,10.0,0.0,0.0
South America,French Guiana,2020-04-20,304568,96.0,0.0,0.0,0.0
South America,French Guiana,2020-04-21,304568,96.0,0.0,0.0,0.0
South America,French Guiana,2020-04-22,304568,96.0,0.0,0.0,0.0
South America,French Guiana,2020-04-23,304568,96.0,0.0,0.0,0.0
South America,French Guiana,2020-04-24,304568,96.0,0.0,0.0,0.0
South America,French Guiana,2020-04-25,304568,96.0,0.0,0.0,0.0
