continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Oceania,French Polynesia,2020-01-05,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-06,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-07,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-08,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-09,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-10,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-11,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-12,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-13,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-14,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-15,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-16,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-17,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-18,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-19,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-20,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-21,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-22,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-23,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-24,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-25,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-26,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-27,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-28,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-29,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-30,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-01-31,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-01,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-02,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-03,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-04,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-05,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-06,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-07,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-08,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-09,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-10,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-11,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-12,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-13,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-14,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-15,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-16,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-17,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-18,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-19,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-20,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-21,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-22,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-23,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-24,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-25,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-26,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-27,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-28,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-02-29,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-03-01,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-03-02,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-03-03,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-03-04,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-03-05,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-03-06,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-03-07,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-03-08,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-03-09,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-03-10,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-03-11,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-03-12,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-03-13,306292,0.0,0.0,0.0,0.0
Oceania,French Polynesia,2020-03-14,306292,0.0,0.0,0.0,0.0
