continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Georgia,2020-01-05,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-06,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-07,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-08,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-09,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-10,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-11,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-12,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-13,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-14,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-15,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-16,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-17,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-18,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-19,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-20,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-21,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-22,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-23,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-24,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-25,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-26,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-27,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-28,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-29,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-30,3744385,0.0,0.0,0.0,0.0
Asia,Georgia,2020-01-31,3744385,0.0,0.0,0.0,0.0
