continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Germany,2020-01-05,83369840,1.0,1.0,3.0,3.0
Europe,Germany,2020-01-06,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-07,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-08,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-09,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-10,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-11,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-12,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-13,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-14,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-15,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-16,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-17,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-18,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-19,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-20,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-21,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-22,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-23,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-24,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-25,83369840,1.0,0.0,3.0,0.0
Europe,Germany,2020-01-26,83369840,2.0,1.0,6.0,3.0
Europe,Germany,2020-01-27,83369840,2.0,0.0,6.0,0.0
Europe,Germany,2020-01-28,83369840,2.0,0.0,6.0,0.0
Europe,Germany,2020-01-29,83369840,2.0,0.0,6.0,0.0
Europe,Germany,2020-01-30,83369840,2.0,0.0,6.0,0.0
Europe,Germany,2020-01-31,83369840,2.0,0.0,6.0,0.0
Europe,Germany,2020-02-01,83369840,2.0,0.0,6.0,0.0
Europe,Germany,2020-02-02,83369840,11.0,9.0,9.0,3.0
Europe,Germany,2020-02-03,83369840,11.0,0.0,9.0,0.0
Europe,Germany,2020-02-04,83369840,11.0,0.0,9.0,0.0
Europe,Germany,2020-02-05,83369840,11.0,0.0,9.0,0.0
Europe,Germany,2020-02-06,83369840,11.0,0.0,9.0,0.0
Europe,Germany,2020-02-07,83369840,11.0,0.0,9.0,0.0
Europe,Germany,2020-02-08,83369840,11.0,0.0,9.0,0.0
Europe,Germany,2020-02-09,83369840,20.0,9.0,9.0,0.0
Europe,Germany,2020-02-10,83369840,20.0,0.0,9.0,0.0
Europe,Germany,2020-02-11,83369840,20.0,0.0,9.0,0.0
Europe,Germany,2020-02-12,83369840,20.0,0.0,9.0,0.0
Europe,Germany,2020-02-13,83369840,20.0,0.0,9.0,0.0
Europe,Germany,2020-02-14,83369840,20.0,0.0,9.0,0.0
Europe,Germany,2020-02-15,83369840,20.0,0.0,9.0,0.0
Europe,Germany,2020-02-16,83369840,25.0,5.0,9.0,0.0
Europe,Germany,2020-02-17,83369840,25.0,0.0,9.0,0.0
Europe,Germany,2020-02-18,83369840,25.0,0.0,9.0,0.0
Europe,Germany,2020-02-19,83369840,25.0,0.0,9.0,0.0
Europe,Germany,2020-02-20,83369840,25.0,0.0,9.0,0.0
Europe,Germany,2020-02-21,83369840,25.0,0.0,9.0,0.0
Europe,Germany,2020-02-22,83369840,25.0,0.0,9.0,0.0
Europe,Germany,2020-02-23,83369840,31.0,6.0,10.0,1.0
Europe,Germany,2020-02-24,83369840,31.0,0.0,10.0,0.0
Europe,Germany,2020-02-25,83369840,31.0,0.0,10.0,0.0
Europe,Germany,2020-02-26,83369840,31.0,0.0,10.0,0.0
Europe,Germany,2020-02-27,83369840,31.0,0.0,10.0,0.0
Europe,Germany,2020-02-28,83369840,31.0,0.0,10.0,0.0
Europe,Germany,2020-02-29,83369840,31.0,0.0,10.0,0.0
Europe,Germany,2020-03-01,83369840,170.0,139.0,11.0,1.0
Europe,Germany,2020-03-02,83369840,170.0,0.0,11.0,0.0
Europe,Germany,2020-03-03,83369840,170.0,0.0,11.0,0.0
Europe,Germany,2020-03-04,83369840,170.0,0.0,11.0,0.0
Europe,Germany,2020-03-05,83369840,170.0,0.0,11.0,0.0
Europe,Germany,2020-03-06,83369840,170.0,0.0,11.0,0.0
Europe,Germany,2020-03-07,83369840,170.0,0.0,11.0,0.0
Europe,Germany,2020-03-08,83369840,1075.0,905.0,23.0,12.0
Europe,Germany,2020-03-09,83369840,1075.0,0.0,23.0,0.0
Europe,Germany,2020-03-10,83369840,1075.0,0.0,23.0,0.0
