continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Gibraltar,2020-01-05,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-06,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-07,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-08,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-09,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-10,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-11,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-12,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-13,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-14,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-15,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-16,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-17,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-18,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-19,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-20,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-21,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-22,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-23,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-24,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-25,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-26,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-27,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-28,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-29,32677,0.0,0.0,0.0,0.0
Europe,Gibraltar,2020-01-30,32677,0.0,0.0,0.0,0.0
