continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Greece,2020-01-05,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-06,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-07,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-08,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-09,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-10,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-11,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-12,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-13,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-14,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-15,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-16,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-17,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-18,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-19,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-20,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-21,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-22,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-23,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-24,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-25,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-26,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-27,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-28,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-29,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-30,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-01-31,10384972,0.0,0.0,0.0,0.0
Europe,Greece,2020-02-01,10384972,0.0,0.0,0.0,0.0
