continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Greenland,2020-01-05,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-06,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-07,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-08,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-09,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-10,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-11,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-12,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-13,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-14,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-15,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-16,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-17,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-18,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-19,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-20,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-21,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-22,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-23,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-24,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-25,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-26,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-27,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-28,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-29,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-30,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-01-31,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-01,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-02,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-03,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-04,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-05,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-06,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-07,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-08,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-09,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-10,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-11,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-12,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-13,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-14,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-15,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-16,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-17,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-18,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-19,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-20,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-21,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-22,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-23,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-24,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-25,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-26,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-27,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-28,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-02-29,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-03-01,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-03-02,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-03-03,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-03-04,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-03-05,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-03-06,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-03-07,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-03-08,56494,0.0,0.0,0.0,0.0
North America,Greenland,2020-03-09,56494,0.0,0.0,0.0,0.0
