continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Guadeloupe,2020-01-05,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-06,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-07,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-08,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-09,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-10,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-11,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-12,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-13,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-14,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-15,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-16,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-17,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-18,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-19,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-20,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-21,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-22,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-23,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-24,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-25,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-26,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-27,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-28,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-29,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-30,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-01-31,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-01,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-02,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-03,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-04,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-05,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-06,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-07,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-08,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-09,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-10,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-11,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-12,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-13,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-14,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-15,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-16,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-17,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-18,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-19,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-20,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-21,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-22,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-23,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-24,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-25,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-26,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-27,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-28,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-02-29,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-01,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-02,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-03,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-04,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-05,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-06,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-07,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-08,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-09,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-10,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-11,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-12,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-13,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-14,395762,0.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-15,395762,1.0,1.0,0.0,0.0
North America,Guadeloupe,2020-03-16,395762,1.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-17,395762,1.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-18,395762,1.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-19,395762,1.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-20,395762,1.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-21,395762,1.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-22,395762,51.0,50.0,0.0,0.0
North America,Guadeloupe,2020-03-23,395762,51.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-24,395762,51.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-25,395762,51.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-26,395762,51.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-27,395762,51.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-28,395762,51.0,0.0,0.0,0.0
North America,Guadeloupe,2020-03-29,395762,96.0,45.0,2.0,2.0
North America,Guadeloupe,2020-03-30,395762,96.0,0.0,2.0,0.0
North America,Guadeloupe,2020-03-31,395762,96.0,0.0,2.0,0.0
North America,Guadeloupe,2020-04-01,395762,96.0,0.0,2.0,0.0
North America,Guadeloupe,2020-04-02,395762,96.0,0.0,2.0,0.0
North America,Guadeloupe,2020-04-03,395762,96.0,0.0,2.0,0.0
North America,Guadeloupe,2020-04-04,395762,96.0,0.0,2.0,0.0
North America,Guadeloupe,2020-04-05,395762,130.0,34.0,7.0,5.0
North America,Guadeloupe,2020-04-06,395762,130.0,0.0,7.0,0.0
North America,Guadeloupe,2020-04-07,395762,130.0,0.0,7.0,0.0
North America,Guadeloupe,2020-04-08,395762,130.0,0.0,7.0,0.0
North America,Guadeloupe,2020-04-09,395762,130.0,0.0,7.0,0.0
North America,Guadeloupe,2020-04-10,395762,130.0,0.0,7.0,0.0
North America,Guadeloupe,2020-04-11,395762,130.0,0.0,7.0,0.0
North America,Guadeloupe,2020-04-12,395762,143.0,13.0,8.0,1.0
North America,Guadeloupe,2020-04-13,395762,143.0,0.0,8.0,0.0
North America,Guadeloupe,2020-04-14,395762,143.0,0.0,8.0,0.0
North America,Guadeloupe,2020-04-15,395762,143.0,0.0,8.0,0.0
North America,Guadeloupe,2020-04-16,395762,143.0,0.0,8.0,0.0
North America,Guadeloupe,2020-04-17,395762,143.0,0.0,8.0,0.0
North America,Guadeloupe,2020-04-18,395762,143.0,0.0,8.0,0.0
North America,Guadeloupe,2020-04-19,395762,145.0,2.0,11.0,3.0
North America,Guadeloupe,2020-04-20,395762,145.0,0.0,11.0,0.0
North America,Guadeloupe,2020-04-21,395762,145.0,0.0,11.0,0.0
North America,Guadeloupe,2020-04-22,395762,145.0,0.0,11.0,0.0
North America,Guadeloupe,2020-04-23,395762,145.0,0.0,11.0,0.0
North America,Guadeloupe,2020-04-24,395762,145.0,0.0,11.0,0.0
North America,Guadeloupe,2020-04-25,395762,145.0,0.0,11.0,0.0
North America,Guadeloupe,2020-04-26,395762,149.0,4.0,12.0,1.0
North America,Guadeloupe,2020-04-27,395762,149.0,0.0,12.0,0.0
North America,Guadeloupe,2020-04-28,395762,149.0,0.0,12.0,0.0
North America,Guadeloupe,2020-04-29,395762,149.0,0.0,12.0,0.0
North America,Guadeloupe,2020-04-30,395762,149.0,0.0,12.0,0.0
North America,Guadeloupe,2020-05-01,395762,149.0,0.0,12.0,0.0
North America,Guadeloupe,2020-05-02,395762,149.0,0.0,12.0,0.0
North America,Guadeloupe,2020-05-03,395762,152.0,3.0,12.0,0.0
North America,Guadeloupe,2020-05-04,395762,152.0,0.0,12.0,0.0
North America,Guadeloupe,2020-05-05,395762,152.0,0.0,12.0,0.0
North America,Guadeloupe,2020-05-06,395762,152.0,0.0,12.0,0.0
North America,Guadeloupe,2020-05-07,395762,152.0,0.0,12.0,0.0
North America,Guadeloupe,2020-05-08,395762,152.0,0.0,12.0,0.0
North America,Guadeloupe,2020-05-09,395762,152.0,0.0,12.0,0.0
North America,Guadeloupe,2020-05-10,395762,154.0,2.0,13.0,1.0
North America,Guadeloupe,2020-05-11,395762,154.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-12,395762,154.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-13,395762,154.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-14,395762,154.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-15,395762,154.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-16,395762,154.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-17,395762,155.0,1.0,13.0,0.0
North America,Guadeloupe,2020-05-18,395762,155.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-19,395762,155.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-20,395762,155.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-21,395762,155.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-22,395762,155.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-23,395762,155.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-24,395762,156.0,1.0,13.0,0.0
North America,Guadeloupe,2020-05-25,395762,156.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-26,395762,156.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-27,395762,156.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-28,395762,156.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-29,395762,156.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-30,395762,156.0,0.0,13.0,0.0
North America,Guadeloupe,2020-05-31,395762,162.0,6.0,14.0,1.0
North America,Guadeloupe,2020-06-01,395762,162.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-02,395762,162.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-03,395762,162.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-04,395762,162.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-05,395762,162.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-06,395762,162.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-07,395762,164.0,2.0,14.0,0.0
North America,Guadeloupe,2020-06-08,395762,164.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-09,395762,164.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-10,395762,164.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-11,395762,164.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-12,395762,164.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-13,395762,164.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-14,395762,171.0,7.0,14.0,0.0
North America,Guadeloupe,2020-06-15,395762,171.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-16,395762,171.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-17,395762,171.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-18,395762,171.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-19,395762,171.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-20,395762,171.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-21,395762,174.0,3.0,14.0,0.0
North America,Guadeloupe,2020-06-22,395762,174.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-23,395762,174.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-24,395762,174.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-25,395762,174.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-26,395762,174.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-27,395762,174.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-28,395762,182.0,8.0,14.0,0.0
North America,Guadeloupe,2020-06-29,395762,182.0,0.0,14.0,0.0
North America,Guadeloupe,2020-06-30,395762,182.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-01,395762,182.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-02,395762,182.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-03,395762,182.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-04,395762,182.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-05,395762,184.0,2.0,14.0,0.0
North America,Guadeloupe,2020-07-06,395762,184.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-07,395762,184.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-08,395762,184.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-09,395762,184.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-10,395762,184.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-11,395762,184.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-12,395762,190.0,6.0,14.0,0.0
North America,Guadeloupe,2020-07-13,395762,190.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-14,395762,190.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-15,395762,190.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-16,395762,190.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-17,395762,190.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-18,395762,190.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-19,395762,195.0,5.0,14.0,0.0
North America,Guadeloupe,2020-07-20,395762,195.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-21,395762,195.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-22,395762,195.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-23,395762,195.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-24,395762,195.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-25,395762,195.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-26,395762,203.0,8.0,14.0,0.0
North America,Guadeloupe,2020-07-27,395762,203.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-28,395762,203.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-29,395762,203.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-30,395762,203.0,0.0,14.0,0.0
North America,Guadeloupe,2020-07-31,395762,203.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-01,395762,203.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-02,395762,265.0,62.0,14.0,0.0
North America,Guadeloupe,2020-08-03,395762,265.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-04,395762,265.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-05,395762,265.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-06,395762,265.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-07,395762,265.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-08,395762,265.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-09,395762,290.0,25.0,14.0,0.0
North America,Guadeloupe,2020-08-10,395762,290.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-11,395762,290.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-12,395762,290.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-13,395762,290.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-14,395762,290.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-15,395762,290.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-16,395762,446.0,156.0,14.0,0.0
North America,Guadeloupe,2020-08-17,395762,446.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-18,395762,446.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-19,395762,446.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-20,395762,446.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-21,395762,446.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-22,395762,446.0,0.0,14.0,0.0
North America,Guadeloupe,2020-08-23,395762,771.0,325.0,15.0,1.0
North America,Guadeloupe,2020-08-24,395762,771.0,0.0,15.0,0.0
North America,Guadeloupe,2020-08-25,395762,771.0,0.0,15.0,0.0
North America,Guadeloupe,2020-08-26,395762,771.0,0.0,15.0,0.0
North America,Guadeloupe,2020-08-27,395762,771.0,0.0,15.0,0.0
North America,Guadeloupe,2020-08-28,395762,771.0,0.0,15.0,0.0
North America,Guadeloupe,2020-08-29,395762,771.0,0.0,15.0,0.0
North America,Guadeloupe,2020-08-30,395762,935.0,164.0,15.0,0.0
North America,Guadeloupe,2020-08-31,395762,935.0,0.0,15.0,0.0
North America,Guadeloupe,2020-09-01,395762,935.0,0.0,15.0,0.0
North America,Guadeloupe,2020-09-02,395762,935.0,0.0,15.0,0.0
North America,Guadeloupe,2020-09-03,395762,935.0,0.0,15.0,0.0
North America,Guadeloupe,2020-09-04,395762,935.0,0.0,15.0,0.0
North America,Guadeloupe,2020-09-05,395762,935.0,0.0,15.0,0.0
North America,Guadeloupe,2020-09-06,395762,1363.0,428.0,20.0,5.0
North America,Guadeloupe,2020-09-07,395762,1363.0,0.0,20.0,0.0
North America,Guadeloupe,2020-09-08,395762,1363.0,0.0,20.0,0.0
North America,Guadeloupe,2020-09-09,395762,1363.0,0.0,20.0,0.0
North America,Guadeloupe,2020-09-10,395762,1363.0,0.0,20.0,0.0
North America,Guadeloupe,2020-09-11,395762,1363.0,0.0,20.0,0.0
North America,Guadeloupe,2020-09-12,395762,1363.0,0.0,20.0,0.0
North America,Guadeloupe,2020-09-13,395762,3080.0,1717.0,24.0,4.0
North America,Guadeloupe,2020-09-14,395762,3080.0,0.0,24.0,0.0
North America,Guadeloupe,2020-09-15,395762,3080.0,0.0,24.0,0.0
North America,Guadeloupe,2020-09-16,395762,3080.0,0.0,24.0,0.0
North America,Guadeloupe,2020-09-17,395762,3080.0,0.0,24.0,0.0
North America,Guadeloupe,2020-09-18,395762,3080.0,0.0,24.0,0.0
North America,Guadeloupe,2020-09-19,395762,3080.0,0.0,24.0,0.0
North America,Guadeloupe,2020-09-20,395762,3426.0,346.0,26.0,2.0
North America,Guadeloupe,2020-09-21,395762,3426.0,0.0,26.0,0.0
North America,Guadeloupe,2020-09-22,395762,3426.0,0.0,26.0,0.0
North America,Guadeloupe,2020-09-23,395762,3426.0,0.0,26.0,0.0
North America,Guadeloupe,2020-09-24,395762,3426.0,0.0,26.0,0.0
North America,Guadeloupe,2020-09-25,395762,3426.0,0.0,26.0,0.0
North America,Guadeloupe,2020-09-26,395762,3426.0,0.0,26.0,0.0
North America,Guadeloupe,2020-09-27,395762,4954.0,1528.0,42.0,16.0
North America,Guadeloupe,2020-09-28,395762,4954.0,0.0,42.0,0.0
North America,Guadeloupe,2020-09-29,395762,4954.0,0.0,42.0,0.0
North America,Guadeloupe,2020-09-30,395762,4954.0,0.0,42.0,0.0
North America,Guadeloupe,2020-10-01,395762,4954.0,0.0,42.0,0.0
North America,Guadeloupe,2020-10-02,395762,4954.0,0.0,42.0,0.0
North America,Guadeloupe,2020-10-03,395762,4954.0,0.0,42.0,0.0
North America,Guadeloupe,2020-10-04,395762,5903.0,949.0,75.0,33.0
North America,Guadeloupe,2020-10-05,395762,5903.0,0.0,75.0,0.0
North America,Guadeloupe,2020-10-06,395762,5903.0,0.0,75.0,0.0
North America,Guadeloupe,2020-10-07,395762,5903.0,0.0,75.0,0.0
North America,Guadeloupe,2020-10-08,395762,5903.0,0.0,75.0,0.0
North America,Guadeloupe,2020-10-09,395762,5903.0,0.0,75.0,0.0
North America,Guadeloupe,2020-10-10,395762,5903.0,0.0,75.0,0.0
North America,Guadeloupe,2020-10-11,395762,6483.0,580.0,95.0,20.0
North America,Guadeloupe,2020-10-12,395762,6483.0,0.0,95.0,0.0
North America,Guadeloupe,2020-10-13,395762,6483.0,0.0,95.0,0.0
North America,Guadeloupe,2020-10-14,395762,6483.0,0.0,95.0,0.0
North America,Guadeloupe,2020-10-15,395762,6483.0,0.0,95.0,0.0
North America,Guadeloupe,2020-10-16,395762,6483.0,0.0,95.0,0.0
North America,Guadeloupe,2020-10-17,395762,6483.0,0.0,95.0,0.0
North America,Guadeloupe,2020-10-18,395762,7122.0,639.0,111.0,16.0
North America,Guadeloupe,2020-10-19,395762,7122.0,0.0,111.0,0.0
North America,Guadeloupe,2020-10-20,395762,7122.0,0.0,111.0,0.0
North America,Guadeloupe,2020-10-21,395762,7122.0,0.0,111.0,0.0
North America,Guadeloupe,2020-10-22,395762,7122.0,0.0,111.0,0.0
North America,Guadeloupe,2020-10-23,395762,7122.0,0.0,111.0,0.0
North America,Guadeloupe,2020-10-24,395762,7122.0,0.0,111.0,0.0
North America,Guadeloupe,2020-10-25,395762,7474.0,352.0,127.0,16.0
North America,Guadeloupe,2020-10-26,395762,7474.0,0.0,127.0,0.0
North America,Guadeloupe,2020-10-27,395762,7474.0,0.0,127.0,0.0
North America,Guadeloupe,2020-10-28,395762,7474.0,0.0,127.0,0.0
North America,Guadeloupe,2020-10-29,395762,7474.0,0.0,127.0,0.0
North America,Guadeloupe,2020-10-30,395762,7474.0,0.0,127.0,0.0
North America,Guadeloupe,2020-10-31,395762,7474.0,0.0,127.0,0.0
North America,Guadeloupe,2020-11-01,395762,7742.0,268.0,126.0,0.0
North America,Guadeloupe,2020-11-02,395762,7742.0,0.0,126.0,0.0
North America,Guadeloupe,2020-11-03,395762,7742.0,0.0,126.0,0.0
North America,Guadeloupe,2020-11-04,395762,7742.0,0.0,126.0,0.0
North America,Guadeloupe,2020-11-05,395762,7742.0,0.0,126.0,0.0
North America,Guadeloupe,2020-11-06,395762,7742.0,0.0,126.0,0.0
North America,Guadeloupe,2020-11-07,395762,7742.0,0.0,126.0,0.0
North America,Guadeloupe,2020-11-08,395762,7903.0,161.0,133.0,7.0
North America,Guadeloupe,2020-11-09,395762,7903.0,0.0,133.0,0.0
North America,Guadeloupe,2020-11-10,395762,7903.0,0.0,133.0,0.0
North America,Guadeloupe,2020-11-11,395762,7903.0,0.0,133.0,0.0
North America,Guadeloupe,2020-11-12,395762,7903.0,0.0,133.0,0.0
North America,Guadeloupe,2020-11-13,395762,7903.0,0.0,133.0,0.0
North America,Guadeloupe,2020-11-14,395762,7903.0,0.0,133.0,0.0
North America,Guadeloupe,2020-11-15,395762,8098.0,195.0,139.0,6.0
North America,Guadeloupe,2020-11-16,395762,8098.0,0.0,139.0,0.0
North America,Guadeloupe,2020-11-17,395762,8098.0,0.0,139.0,0.0
North America,Guadeloupe,2020-11-18,395762,8098.0,0.0,139.0,0.0
North America,Guadeloupe,2020-11-19,395762,8098.0,0.0,139.0,0.0
North America,Guadeloupe,2020-11-20,395762,8098.0,0.0,139.0,0.0
North America,Guadeloupe,2020-11-21,395762,8098.0,0.0,139.0,0.0
North America,Guadeloupe,2020-11-22,395762,8225.0,127.0,144.0,5.0
North America,Guadeloupe,2020-11-23,395762,8225.0,0.0,144.0,0.0
North America,Guadeloupe,2020-11-24,395762,8225.0,0.0,144.0,0.0
North America,Guadeloupe,2020-11-25,395762,8225.0,0.0,144.0,0.0
North America,Guadeloupe,2020-11-26,395762,8225.0,0.0,144.0,0.0
North America,Guadeloupe,2020-11-27,395762,8225.0,0.0,144.0,0.0
North America,Guadeloupe,2020-11-28,395762,8225.0,0.0,144.0,0.0
North America,Guadeloupe,2020-11-29,395762,8344.0,119.0,149.0,5.0
North America,Guadeloupe,2020-11-30,395762,8344.0,0.0,149.0,0.0
North America,Guadeloupe,2020-12-01,395762,8344.0,0.0,149.0,0.0
North America,Guadeloupe,2020-12-02,395762,8344.0,0.0,149.0,0.0
North America,Guadeloupe,2020-12-03,395762,8344.0,0.0,149.0,0.0
North America,Guadeloupe,2020-12-04,395762,8344.0,0.0,149.0,0.0
North America,Guadeloupe,2020-12-05,395762,8344.0,0.0,149.0,0.0
North America,Guadeloupe,2020-12-06,395762,8427.0,83.0,149.0,0.0
North America,Guadeloupe,2020-12-07,395762,8427.0,0.0,149.0,0.0
North America,Guadeloupe,2020-12-08,395762,8427.0,0.0,149.0,0.0
North America,Guadeloupe,2020-12-09,395762,8427.0,0.0,149.0,0.0
North America,Guadeloupe,2020-12-10,395762,8427.0,0.0,149.0,0.0
North America,Guadeloupe,2020-12-11,395762,8427.0,0.0,149.0,0.0
North America,Guadeloupe,2020-12-12,395762,8427.0,0.0,149.0,0.0
North America,Guadeloupe,2020-12-13,395762,8451.0,24.0,152.0,3.0
North America,Guadeloupe,2020-12-14,395762,8451.0,0.0,152.0,0.0
North America,Guadeloupe,2020-12-15,395762,8451.0,0.0,152.0,0.0
North America,Guadeloupe,2020-12-16,395762,8451.0,0.0,152.0,0.0
North America,Guadeloupe,2020-12-17,395762,8451.0,0.0,152.0,0.0
North America,Guadeloupe,2020-12-18,395762,8451.0,0.0,152.0,0.0
North America,Guadeloupe,2020-12-19,395762,8451.0,0.0,152.0,0.0
North America,Guadeloupe,2020-12-20,395762,8557.0,106.0,155.0,3.0
North America,Guadeloupe,2020-12-21,395762,8557.0,0.0,155.0,0.0
North America,Guadeloupe,2020-12-22,395762,8557.0,0.0,155.0,0.0
North America,Guadeloupe,2020-12-23,395762,8557.0,0.0,155.0,0.0
North America,Guadeloupe,2020-12-24,395762,8557.0,0.0,155.0,0.0
North America,Guadeloupe,2020-12-25,395762,8557.0,0.0,155.0,0.0
North America,Guadeloupe,2020-12-26,395762,8557.0,0.0,155.0,0.0
North America,Guadeloupe,2020-12-27,395762,8620.0,63.0,155.0,0.0
North America,Guadeloupe,2020-12-28,395762,8620.0,0.0,155.0,0.0
North America,Guadeloupe,2020-12-29,395762,8620.0,0.0,155.0,0.0
North America,Guadeloupe,2020-12-30,395762,8620.0,0.0,155.0,0.0
North America,Guadeloupe,2020-12-31,395762,8620.0,0.0,155.0,0.0
North America,Guadeloupe,2021-01-01,395762,8620.0,0.0,155.0,0.0
North America,Guadeloupe,2021-01-02,395762,8620.0,0.0,155.0,0.0
North America,Guadeloupe,2021-01-03,395762,8620.0,0.0,155.0,0.0
North America,Guadeloupe,2021-01-04,395762,8620.0,0.0,155.0,0.0
North America,Guadeloupe,2021-01-05,395762,8620.0,0.0,155.0,0.0
North America,Guadeloupe,2021-01-06,395762,8620.0,0.0,155.0,0.0
North America,Guadeloupe,2021-01-07,395762,8620.0,0.0,155.0,0.0
North America,Guadeloupe,2021-01-08,395762,8620.0,0.0,155.0,0.0
North America,Guadeloupe,2021-01-09,395762,8620.0,0.0,155.0,0.0
North America,Guadeloupe,2021-01-10,395762,8702.0,82.0,155.0,0.0
North America,Guadeloupe,2021-01-11,395762,8702.0,0.0,155.0,0.0
