continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Oceania,Guam,2020-01-05,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-06,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-07,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-08,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-09,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-10,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-11,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-12,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-13,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-14,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-15,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-16,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-17,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-18,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-19,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-20,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-21,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-22,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-23,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-24,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-25,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-26,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-27,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-28,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-29,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-30,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-01-31,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-01,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-02,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-03,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-04,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-05,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-06,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-07,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-08,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-09,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-10,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-11,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-12,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-13,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-14,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-15,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-16,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-17,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-18,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-19,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-20,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-21,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-22,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-23,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-24,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-25,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-26,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-27,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-28,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-02-29,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-01,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-02,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-03,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-04,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-05,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-06,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-07,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-08,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-09,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-10,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-11,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-12,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-13,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-14,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-15,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-16,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-17,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-18,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-19,171783,0.0,0.0,0.0,0.0
Oceania,Guam,2020-03-20,171783,0.0,0.0,0.0,0.0
