continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Guernsey,2020-01-05,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-06,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-07,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-08,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-09,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-10,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-11,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-12,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-13,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-14,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-15,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-16,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-17,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-18,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-19,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-20,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-21,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-22,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-23,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-24,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-25,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-26,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-27,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-28,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-29,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-30,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-01-31,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-01,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-02,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-03,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-04,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-05,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-06,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-07,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-08,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-09,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-10,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-11,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-12,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-13,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-14,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-15,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-16,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-17,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-18,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-19,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-20,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-21,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-22,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-23,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-24,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-25,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-26,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-27,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-28,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-02-29,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-01,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-02,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-03,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-04,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-05,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-06,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-07,63329,0.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-08,63329,1.0,1.0,0.0,0.0
Europe,Guernsey,2020-03-09,63329,1.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-10,63329,1.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-11,63329,1.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-12,63329,1.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-13,63329,1.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-14,63329,1.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-15,63329,1.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-16,63329,1.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-17,63329,1.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-18,63329,1.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-19,63329,1.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-20,63329,1.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-21,63329,1.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-22,63329,23.0,22.0,0.0,0.0
Europe,Guernsey,2020-03-23,63329,23.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-24,63329,23.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-25,63329,23.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-26,63329,23.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-27,63329,23.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-28,63329,23.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-29,63329,46.0,23.0,0.0,0.0
Europe,Guernsey,2020-03-30,63329,46.0,0.0,0.0,0.0
Europe,Guernsey,2020-03-31,63329,46.0,0.0,0.0,0.0
Europe,Guernsey,2020-04-01,63329,46.0,0.0,0.0,0.0
Europe,Guernsey,2020-04-02,63329,46.0,0.0,0.0,0.0
Europe,Guernsey,2020-04-03,63329,46.0,0.0,0.0,0.0
Europe,Guernsey,2020-04-04,63329,46.0,0.0,0.0,0.0
Europe,Guernsey,2020-04-05,63329,127.0,81.0,4.0,4.0
Europe,Guernsey,2020-04-06,63329,127.0,0.0,4.0,0.0
Europe,Guernsey,2020-04-07,63329,127.0,0.0,4.0,0.0
Europe,Guernsey,2020-04-08,63329,127.0,0.0,4.0,0.0
Europe,Guernsey,2020-04-09,63329,127.0,0.0,4.0,0.0
Europe,Guernsey,2020-04-10,63329,127.0,0.0,4.0,0.0
Europe,Guernsey,2020-04-11,63329,127.0,0.0,4.0,0.0
Europe,Guernsey,2020-04-12,63329,209.0,82.0,9.0,5.0
Europe,Guernsey,2020-04-13,63329,209.0,0.0,9.0,0.0
Europe,Guernsey,2020-04-14,63329,209.0,0.0,9.0,0.0
Europe,Guernsey,2020-04-15,63329,209.0,0.0,9.0,0.0
Europe,Guernsey,2020-04-16,63329,209.0,0.0,9.0,0.0
Europe,Guernsey,2020-04-17,63329,209.0,0.0,9.0,0.0
Europe,Guernsey,2020-04-18,63329,209.0,0.0,9.0,0.0
Europe,Guernsey,2020-04-19,63329,239.0,30.0,13.0,4.0
Europe,Guernsey,2020-04-20,63329,239.0,0.0,13.0,0.0
Europe,Guernsey,2020-04-21,63329,239.0,0.0,13.0,0.0
Europe,Guernsey,2020-04-22,63329,239.0,0.0,13.0,0.0
Europe,Guernsey,2020-04-23,63329,239.0,0.0,13.0,0.0
Europe,Guernsey,2020-04-24,63329,239.0,0.0,13.0,0.0
Europe,Guernsey,2020-04-25,63329,239.0,0.0,13.0,0.0
Europe,Guernsey,2020-04-26,63329,245.0,6.0,16.0,3.0
Europe,Guernsey,2020-04-27,63329,245.0,0.0,16.0,0.0
Europe,Guernsey,2020-04-28,63329,245.0,0.0,16.0,0.0
Europe,Guernsey,2020-04-29,63329,245.0,0.0,16.0,0.0
Europe,Guernsey,2020-04-30,63329,245.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-01,63329,245.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-02,63329,245.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-03,63329,252.0,7.0,16.0,0.0
Europe,Guernsey,2020-05-04,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-05,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-06,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-07,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-08,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-09,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-10,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-11,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-12,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-13,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-14,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-15,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-16,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-17,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-18,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-19,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-20,63329,252.0,0.0,16.0,0.0
Europe,Guernsey,2020-05-21,63329,252.0,0.0,16.0,0.0
