continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
South America,Guyana,2020-01-05,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-06,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-07,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-08,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-09,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-10,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-11,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-12,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-13,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-14,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-15,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-16,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-17,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-18,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-19,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-20,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-21,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-22,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-23,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-24,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-25,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-26,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-27,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-28,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-29,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-30,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-01-31,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-01,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-02,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-03,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-04,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-05,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-06,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-07,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-08,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-09,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-10,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-11,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-12,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-13,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-14,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-15,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-16,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-17,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-18,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-19,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-20,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-21,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-22,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-23,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-24,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-25,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-26,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-27,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-28,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-02-29,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-01,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-02,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-03,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-04,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-05,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-06,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-07,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-08,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-09,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-10,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-11,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-12,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-13,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-14,808727,0.0,0.0,0.0,0.0
South America,Guyana,2020-03-15,808727,1.0,1.0,1.0,1.0
South America,Guyana,2020-03-16,808727,1.0,0.0,1.0,0.0
South America,Guyana,2020-03-17,808727,1.0,0.0,1.0,0.0
South America,Guyana,2020-03-18,808727,1.0,0.0,1.0,0.0
South America,Guyana,2020-03-19,808727,1.0,0.0,1.0,0.0
South America,Guyana,2020-03-20,808727,1.0,0.0,1.0,0.0
South America,Guyana,2020-03-21,808727,1.0,0.0,1.0,0.0
South America,Guyana,2020-03-22,808727,5.0,4.0,1.0,0.0
South America,Guyana,2020-03-23,808727,5.0,0.0,1.0,0.0
South America,Guyana,2020-03-24,808727,5.0,0.0,1.0,0.0
South America,Guyana,2020-03-25,808727,5.0,0.0,1.0,0.0
South America,Guyana,2020-03-26,808727,5.0,0.0,1.0,0.0
South America,Guyana,2020-03-27,808727,5.0,0.0,1.0,0.0
South America,Guyana,2020-03-28,808727,5.0,0.0,1.0,0.0
South America,Guyana,2020-03-29,808727,5.0,0.0,1.0,0.0
South America,Guyana,2020-03-30,808727,5.0,0.0,1.0,0.0
South America,Guyana,2020-03-31,808727,5.0,0.0,1.0,0.0
South America,Guyana,2020-04-01,808727,5.0,0.0,1.0,0.0
South America,Guyana,2020-04-02,808727,5.0,0.0,1.0,0.0
South America,Guyana,2020-04-03,808727,5.0,0.0,1.0,0.0
South America,Guyana,2020-04-04,808727,5.0,0.0,1.0,0.0
South America,Guyana,2020-04-05,808727,23.0,18.0,4.0,3.0
South America,Guyana,2020-04-06,808727,23.0,0.0,4.0,0.0
South America,Guyana,2020-04-07,808727,23.0,0.0,4.0,0.0
South America,Guyana,2020-04-08,808727,23.0,0.0,4.0,0.0
South America,Guyana,2020-04-09,808727,23.0,0.0,4.0,0.0
South America,Guyana,2020-04-10,808727,23.0,0.0,4.0,0.0
South America,Guyana,2020-04-11,808727,23.0,0.0,4.0,0.0
South America,Guyana,2020-04-12,808727,37.0,14.0,6.0,2.0
South America,Guyana,2020-04-13,808727,37.0,0.0,6.0,0.0
South America,Guyana,2020-04-14,808727,37.0,0.0,6.0,0.0
South America,Guyana,2020-04-15,808727,37.0,0.0,6.0,0.0
South America,Guyana,2020-04-16,808727,37.0,0.0,6.0,0.0
South America,Guyana,2020-04-17,808727,37.0,0.0,6.0,0.0
South America,Guyana,2020-04-18,808727,37.0,0.0,6.0,0.0
South America,Guyana,2020-04-19,808727,63.0,26.0,6.0,0.0
South America,Guyana,2020-04-20,808727,63.0,0.0,6.0,0.0
South America,Guyana,2020-04-21,808727,63.0,0.0,6.0,0.0
South America,Guyana,2020-04-22,808727,63.0,0.0,6.0,0.0
South America,Guyana,2020-04-23,808727,63.0,0.0,6.0,0.0
South America,Guyana,2020-04-24,808727,63.0,0.0,6.0,0.0
