continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Haiti,2020-01-05,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-06,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-07,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-08,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-09,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-10,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-11,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-12,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-13,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-14,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-15,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-16,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-17,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-18,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-19,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-20,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-21,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-22,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-23,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-24,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-25,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-26,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-27,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-28,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-29,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-30,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-01-31,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-01,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-02,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-03,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-04,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-05,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-06,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-07,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-08,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-09,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-10,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-11,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-12,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-13,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-14,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-15,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-16,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-17,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-18,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-19,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-20,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-21,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-22,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-23,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-24,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-25,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-26,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-27,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-28,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-02-29,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-01,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-02,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-03,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-04,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-05,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-06,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-07,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-08,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-09,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-10,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-11,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-12,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-13,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-14,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-15,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-16,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-17,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-18,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-19,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-20,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-21,11585003,0.0,0.0,0.0,0.0
North America,Haiti,2020-03-22,11585003,2.0,2.0,0.0,0.0
North America,Haiti,2020-03-23,11585003,2.0,0.0,0.0,0.0
North America,Haiti,2020-03-24,11585003,2.0,0.0,0.0,0.0
North America,Haiti,2020-03-25,11585003,2.0,0.0,0.0,0.0
North America,Haiti,2020-03-26,11585003,2.0,0.0,0.0,0.0
North America,Haiti,2020-03-27,11585003,2.0,0.0,0.0,0.0
North America,Haiti,2020-03-28,11585003,2.0,0.0,0.0,0.0
North America,Haiti,2020-03-29,11585003,8.0,6.0,0.0,0.0
North America,Haiti,2020-03-30,11585003,8.0,0.0,0.0,0.0
North America,Haiti,2020-03-31,11585003,8.0,0.0,0.0,0.0
North America,Haiti,2020-04-01,11585003,8.0,0.0,0.0,0.0
North America,Haiti,2020-04-02,11585003,8.0,0.0,0.0,0.0
North America,Haiti,2020-04-03,11585003,8.0,0.0,0.0,0.0
North America,Haiti,2020-04-04,11585003,8.0,0.0,0.0,0.0
North America,Haiti,2020-04-05,11585003,18.0,10.0,0.0,0.0
North America,Haiti,2020-04-06,11585003,18.0,0.0,0.0,0.0
North America,Haiti,2020-04-07,11585003,18.0,0.0,0.0,0.0
North America,Haiti,2020-04-08,11585003,18.0,0.0,0.0,0.0
North America,Haiti,2020-04-09,11585003,18.0,0.0,0.0,0.0
North America,Haiti,2020-04-10,11585003,18.0,0.0,0.0,0.0
North America,Haiti,2020-04-11,11585003,18.0,0.0,0.0,0.0
North America,Haiti,2020-04-12,11585003,31.0,13.0,2.0,2.0
North America,Haiti,2020-04-13,11585003,31.0,0.0,2.0,0.0
North America,Haiti,2020-04-14,11585003,31.0,0.0,2.0,0.0
North America,Haiti,2020-04-15,11585003,31.0,0.0,2.0,0.0
North America,Haiti,2020-04-16,11585003,31.0,0.0,2.0,0.0
North America,Haiti,2020-04-17,11585003,31.0,0.0,2.0,0.0
North America,Haiti,2020-04-18,11585003,31.0,0.0,2.0,0.0
North America,Haiti,2020-04-19,11585003,44.0,13.0,3.0,1.0
North America,Haiti,2020-04-20,11585003,44.0,0.0,3.0,0.0
North America,Haiti,2020-04-21,11585003,44.0,0.0,3.0,0.0
North America,Haiti,2020-04-22,11585003,44.0,0.0,3.0,0.0
North America,Haiti,2020-04-23,11585003,44.0,0.0,3.0,0.0
North America,Haiti,2020-04-24,11585003,44.0,0.0,3.0,0.0
North America,Haiti,2020-04-25,11585003,44.0,0.0,3.0,0.0
North America,Haiti,2020-04-26,11585003,72.0,28.0,6.0,3.0
North America,Haiti,2020-04-27,11585003,72.0,0.0,6.0,0.0
North America,Haiti,2020-04-28,11585003,72.0,0.0,6.0,0.0
North America,Haiti,2020-04-29,11585003,72.0,0.0,6.0,0.0
North America,Haiti,2020-04-30,11585003,72.0,0.0,6.0,0.0
North America,Haiti,2020-05-01,11585003,72.0,0.0,6.0,0.0
North America,Haiti,2020-05-02,11585003,72.0,0.0,6.0,0.0
North America,Haiti,2020-05-03,11585003,85.0,13.0,8.0,2.0
North America,Haiti,2020-05-04,11585003,85.0,0.0,8.0,0.0
North America,Haiti,2020-05-05,11585003,85.0,0.0,8.0,0.0
North America,Haiti,2020-05-06,11585003,85.0,0.0,8.0,0.0
North America,Haiti,2020-05-07,11585003,85.0,0.0,8.0,0.0
North America,Haiti,2020-05-08,11585003,85.0,0.0,8.0,0.0
North America,Haiti,2020-05-09,11585003,85.0,0.0,8.0,0.0
North America,Haiti,2020-05-10,11585003,146.0,61.0,12.0,4.0
North America,Haiti,2020-05-11,11585003,146.0,0.0,12.0,0.0
North America,Haiti,2020-05-12,11585003,146.0,0.0,12.0,0.0
North America,Haiti,2020-05-13,11585003,146.0,0.0,12.0,0.0
North America,Haiti,2020-05-14,11585003,146.0,0.0,12.0,0.0
North America,Haiti,2020-05-15,11585003,146.0,0.0,12.0,0.0
North America,Haiti,2020-05-16,11585003,146.0,0.0,12.0,0.0
North America,Haiti,2020-05-17,11585003,310.0,164.0,20.0,8.0
North America,Haiti,2020-05-18,11585003,310.0,0.0,20.0,0.0
North America,Haiti,2020-05-19,11585003,310.0,0.0,20.0,0.0
