continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
0,High-income countries,2020-01-05,1250514600,1.0,1.0,3.0,3.0
0,High-income countries,2020-01-06,1250514600,1.0,0.0,3.0,0.0
0,High-income countries,2020-01-07,1250514600,1.0,0.0,3.0,0.0
0,High-income countries,2020-01-08,1250514600,1.0,0.0,3.0,0.0
0,High-income countries,2020-01-09,1250514600,1.0,0.0,3.0,0.0
0,High-income countries,2020-01-10,1250514600,1.0,0.0,3.0,0.0
0,High-income countries,2020-01-11,1250514600,1.0,0.0,3.0,0.0
0,High-income countries,2020-01-12,1250514600,2.0,1.0,3.0,0.0
0,High-income countries,2020-01-13,1250514600,2.0,0.0,3.0,0.0
0,High-income countries,2020-01-14,1250514600,2.0,0.0,3.0,0.0
0,High-income countries,2020-01-15,1250514600,2.0,0.0,3.0,0.0
0,High-income countries,2020-01-16,1250514600,2.0,0.0,3.0,0.0
0,High-income countries,2020-01-17,1250514600,2.0,0.0,3.0,0.0
0,High-income countries,2020-01-18,1250514600,2.0,0.0,3.0,0.0
0,High-income countries,2020-01-19,1250514600,6.0,4.0,3.0,0.0
0,High-income countries,2020-01-20,1250514600,6.0,0.0,3.0,0.0
0,High-income countries,2020-01-21,1250514600,6.0,0.0,3.0,0.0
0,High-income countries,2020-01-22,1250514600,6.0,0.0,3.0,0.0
0,High-income countries,2020-01-23,1250514600,6.0,0.0,3.0,0.0
0,High-income countries,2020-01-24,1250514600,6.0,0.0,3.0,0.0
0,High-income countries,2020-01-25,1250514600,6.0,0.0,3.0,0.0
0,High-income countries,2020-01-26,1250514600,31.0,25.0,6.0,3.0
0,High-income countries,2020-01-27,1250514600,31.0,0.0,6.0,0.0
0,High-income countries,2020-01-28,1250514600,31.0,0.0,6.0,0.0
0,High-income countries,2020-01-29,1250514600,31.0,0.0,6.0,0.0
0,High-income countries,2020-01-30,1250514600,31.0,0.0,6.0,0.0
0,High-income countries,2020-01-31,1250514600,31.0,0.0,6.0,0.0
0,High-income countries,2020-02-01,1250514600,31.0,0.0,6.0,0.0
0,High-income countries,2020-02-02,1250514600,106.0,75.0,10.0,4.0
0,High-income countries,2020-02-03,1250514600,106.0,0.0,10.0,0.0
0,High-income countries,2020-02-04,1250514600,106.0,0.0,10.0,0.0
0,High-income countries,2020-02-05,1250514600,106.0,0.0,10.0,0.0
0,High-income countries,2020-02-06,1250514600,106.0,0.0,10.0,0.0
0,High-income countries,2020-02-07,1250514600,106.0,0.0,10.0,0.0
0,High-income countries,2020-02-08,1250514600,106.0,0.0,10.0,0.0
0,High-income countries,2020-02-09,1250514600,223.0,117.0,11.0,1.0
0,High-income countries,2020-02-10,1250514600,223.0,0.0,11.0,0.0
0,High-income countries,2020-02-11,1250514600,223.0,0.0,11.0,0.0
0,High-income countries,2020-02-12,1250514600,223.0,0.0,11.0,0.0
0,High-income countries,2020-02-13,1250514600,223.0,0.0,11.0,0.0
0,High-income countries,2020-02-14,1250514600,223.0,0.0,11.0,0.0
0,High-income countries,2020-02-15,1250514600,223.0,0.0,11.0,0.0
0,High-income countries,2020-02-16,1250514600,320.0,97.0,13.0,2.0
0,High-income countries,2020-02-17,1250514600,320.0,0.0,13.0,0.0
0,High-income countries,2020-02-18,1250514600,320.0,0.0,13.0,0.0
0,High-income countries,2020-02-19,1250514600,320.0,0.0,13.0,0.0
