continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Hungary,2020-01-05,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-06,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-07,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-08,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-09,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-10,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-11,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-12,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-13,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-14,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-15,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-16,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-17,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-18,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-19,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-20,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-21,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-22,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-23,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-24,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-25,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-26,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-27,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-28,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-29,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-30,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-01-31,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-01,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-02,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-03,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-04,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-05,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-06,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-07,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-08,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-09,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-10,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-11,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-12,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-13,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-14,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-15,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-16,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-17,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-18,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-19,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-20,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-21,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-22,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-23,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-24,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-25,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-26,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-27,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-28,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-02-29,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-03-01,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-03-02,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-03-03,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-03-04,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-03-05,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-03-06,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-03-07,9967304,0.0,0.0,0.0,0.0
Europe,Hungary,2020-03-08,9967304,7.0,7.0,0.0,0.0
Europe,Hungary,2020-03-09,9967304,7.0,0.0,0.0,0.0
Europe,Hungary,2020-03-10,9967304,7.0,0.0,0.0,0.0
Europe,Hungary,2020-03-11,9967304,7.0,0.0,0.0,0.0
Europe,Hungary,2020-03-12,9967304,7.0,0.0,0.0,0.0
Europe,Hungary,2020-03-13,9967304,7.0,0.0,0.0,0.0
Europe,Hungary,2020-03-14,9967304,7.0,0.0,0.0,0.0
Europe,Hungary,2020-03-15,9967304,31.0,24.0,0.0,0.0
Europe,Hungary,2020-03-16,9967304,31.0,0.0,0.0,0.0
Europe,Hungary,2020-03-17,9967304,31.0,0.0,0.0,0.0
Europe,Hungary,2020-03-18,9967304,31.0,0.0,0.0,0.0
Europe,Hungary,2020-03-19,9967304,31.0,0.0,0.0,0.0
Europe,Hungary,2020-03-20,9967304,31.0,0.0,0.0,0.0
Europe,Hungary,2020-03-21,9967304,31.0,0.0,0.0,0.0
Europe,Hungary,2020-03-22,9967304,131.0,100.0,4.0,4.0
Europe,Hungary,2020-03-23,9967304,131.0,0.0,4.0,0.0
Europe,Hungary,2020-03-24,9967304,131.0,0.0,4.0,0.0
Europe,Hungary,2020-03-25,9967304,131.0,0.0,4.0,0.0
Europe,Hungary,2020-03-26,9967304,131.0,0.0,4.0,0.0
Europe,Hungary,2020-03-27,9967304,131.0,0.0,4.0,0.0
Europe,Hungary,2020-03-28,9967304,131.0,0.0,4.0,0.0
Europe,Hungary,2020-03-29,9967304,408.0,277.0,13.0,9.0
Europe,Hungary,2020-03-30,9967304,408.0,0.0,13.0,0.0
Europe,Hungary,2020-03-31,9967304,408.0,0.0,13.0,0.0
Europe,Hungary,2020-04-01,9967304,408.0,0.0,13.0,0.0
Europe,Hungary,2020-04-02,9967304,408.0,0.0,13.0,0.0
Europe,Hungary,2020-04-03,9967304,408.0,0.0,13.0,0.0
Europe,Hungary,2020-04-04,9967304,408.0,0.0,13.0,0.0
Europe,Hungary,2020-04-05,9967304,733.0,325.0,34.0,21.0
Europe,Hungary,2020-04-06,9967304,733.0,0.0,34.0,0.0
Europe,Hungary,2020-04-07,9967304,733.0,0.0,34.0,0.0
Europe,Hungary,2020-04-08,9967304,733.0,0.0,34.0,0.0
Europe,Hungary,2020-04-09,9967304,733.0,0.0,34.0,0.0
Europe,Hungary,2020-04-10,9967304,733.0,0.0,34.0,0.0
Europe,Hungary,2020-04-11,9967304,733.0,0.0,34.0,0.0
Europe,Hungary,2020-04-12,9967304,1410.0,677.0,99.0,65.0
Europe,Hungary,2020-04-13,9967304,1410.0,0.0,99.0,0.0
Europe,Hungary,2020-04-14,9967304,1410.0,0.0,99.0,0.0
Europe,Hungary,2020-04-15,9967304,1410.0,0.0,99.0,0.0
Europe,Hungary,2020-04-16,9967304,1410.0,0.0,99.0,0.0
Europe,Hungary,2020-04-17,9967304,1410.0,0.0,99.0,0.0
Europe,Hungary,2020-04-18,9967304,1410.0,0.0,99.0,0.0
Europe,Hungary,2020-04-19,9967304,1916.0,506.0,189.0,90.0
Europe,Hungary,2020-04-20,9967304,1916.0,0.0,189.0,0.0
Europe,Hungary,2020-04-21,9967304,1916.0,0.0,189.0,0.0
Europe,Hungary,2020-04-22,9967304,1916.0,0.0,189.0,0.0
Europe,Hungary,2020-04-23,9967304,1916.0,0.0,189.0,0.0
Europe,Hungary,2020-04-24,9967304,1916.0,0.0,189.0,0.0
Europe,Hungary,2020-04-25,9967304,1916.0,0.0,189.0,0.0
Europe,Hungary,2020-04-26,9967304,2500.0,584.0,272.0,83.0
Europe,Hungary,2020-04-27,9967304,2500.0,0.0,272.0,0.0
