continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Iceland,2020-01-05,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-06,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-07,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-08,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-09,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-10,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-11,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-12,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-13,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-14,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-15,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-16,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-17,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-18,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-19,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-20,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-21,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-22,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-23,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-24,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-25,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-26,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-27,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-28,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-29,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-30,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-01-31,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-02-01,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-02-02,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-02-03,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-02-04,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-02-05,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-02-06,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-02-07,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-02-08,372903,0.0,0.0,0.0,0.0
Europe,Iceland,2020-02-09,372903,15.0,15.0,0.0,0.0
Europe,Iceland,2020-02-10,372903,15.0,0.0,0.0,0.0
