continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Indonesia,2020-01-05,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-06,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-07,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-08,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-09,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-10,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-11,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-12,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-13,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-14,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-15,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-16,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-17,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-18,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-19,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-20,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-21,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-22,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-23,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-24,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-25,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-26,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-27,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-28,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-29,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-30,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-01-31,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-01,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-02,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-03,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-04,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-05,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-06,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-07,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-08,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-09,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-10,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-11,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-12,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-13,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-14,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-15,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-16,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-17,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-18,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-19,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-20,275501344,0.0,0.0,0.0,0.0
Asia,Indonesia,2020-02-21,275501344,0.0,0.0,0.0,0.0
