continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Iran,2020-01-05,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-06,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-07,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-08,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-09,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-10,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-11,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-12,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-13,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-14,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-15,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-16,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-17,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-18,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-19,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-20,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-21,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-22,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-23,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-24,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-25,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-26,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-27,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-28,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-29,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-30,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-01-31,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-01,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-02,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-03,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-04,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-05,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-06,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-07,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-08,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-09,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-10,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-11,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-12,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-13,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-14,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-15,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-16,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-17,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-18,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-19,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-20,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-21,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-22,88550568,0.0,0.0,0.0,0.0
Asia,Iran,2020-02-23,88550568,28.0,28.0,5.0,5.0
Asia,Iran,2020-02-24,88550568,28.0,0.0,5.0,0.0
Asia,Iran,2020-02-25,88550568,28.0,0.0,5.0,0.0
Asia,Iran,2020-02-26,88550568,28.0,0.0,5.0,0.0
Asia,Iran,2020-02-27,88550568,28.0,0.0,5.0,0.0
Asia,Iran,2020-02-28,88550568,28.0,0.0,5.0,0.0
Asia,Iran,2020-02-29,88550568,28.0,0.0,5.0,0.0
Asia,Iran,2020-03-01,88550568,593.0,565.0,43.0,38.0
Asia,Iran,2020-03-02,88550568,593.0,0.0,43.0,0.0
Asia,Iran,2020-03-03,88550568,593.0,0.0,43.0,0.0
Asia,Iran,2020-03-04,88550568,593.0,0.0,43.0,0.0
Asia,Iran,2020-03-05,88550568,593.0,0.0,43.0,0.0
Asia,Iran,2020-03-06,88550568,593.0,0.0,43.0,0.0
Asia,Iran,2020-03-07,88550568,593.0,0.0,43.0,0.0
Asia,Iran,2020-03-08,88550568,5823.0,5230.0,145.0,102.0
Asia,Iran,2020-03-09,88550568,5823.0,0.0,145.0,0.0
Asia,Iran,2020-03-10,88550568,5823.0,0.0,145.0,0.0
Asia,Iran,2020-03-11,88550568,5823.0,0.0,145.0,0.0
Asia,Iran,2020-03-12,88550568,5823.0,0.0,145.0,0.0
