continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Israel,2020-01-05,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-06,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-07,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-08,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-09,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-10,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-11,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-12,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-13,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-14,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-15,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-16,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-17,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-18,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-19,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-20,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-21,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-22,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-23,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-24,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-25,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-26,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-27,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-28,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-29,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-30,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-01-31,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-01,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-02,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-03,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-04,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-05,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-06,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-07,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-08,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-09,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-10,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-11,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-12,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-13,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-14,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-15,9449000,0.0,0.0,0.0,0.0
Asia,Israel,2020-02-16,9449000,9.0,9.0,0.0,0.0
Asia,Israel,2020-02-17,9449000,9.0,0.0,0.0,0.0
Asia,Israel,2020-02-18,9449000,9.0,0.0,0.0,0.0
Asia,Israel,2020-02-19,9449000,9.0,0.0,0.0,0.0
Asia,Israel,2020-02-20,9449000,9.0,0.0,0.0,0.0
Asia,Israel,2020-02-21,9449000,9.0,0.0,0.0,0.0
Asia,Israel,2020-02-22,9449000,9.0,0.0,0.0,0.0
Asia,Israel,2020-02-23,9449000,10.0,1.0,0.0,0.0
Asia,Israel,2020-02-24,9449000,10.0,0.0,0.0,0.0
Asia,Israel,2020-02-25,9449000,10.0,0.0,0.0,0.0
Asia,Israel,2020-02-26,9449000,10.0,0.0,0.0,0.0
Asia,Israel,2020-02-27,9449000,10.0,0.0,0.0,0.0
Asia,Israel,2020-02-28,9449000,10.0,0.0,0.0,0.0
Asia,Israel,2020-02-29,9449000,10.0,0.0,0.0,0.0
Asia,Israel,2020-03-01,9449000,15.0,5.0,0.0,0.0
Asia,Israel,2020-03-02,9449000,15.0,0.0,0.0,0.0
Asia,Israel,2020-03-03,9449000,15.0,0.0,0.0,0.0
Asia,Israel,2020-03-04,9449000,15.0,0.0,0.0,0.0
Asia,Israel,2020-03-05,9449000,15.0,0.0,0.0,0.0
Asia,Israel,2020-03-06,9449000,15.0,0.0,0.0,0.0
Asia,Israel,2020-03-07,9449000,15.0,0.0,0.0,0.0
Asia,Israel,2020-03-08,9449000,41.0,26.0,0.0,0.0
Asia,Israel,2020-03-09,9449000,41.0,0.0,0.0,0.0
Asia,Israel,2020-03-10,9449000,41.0,0.0,0.0,0.0
Asia,Israel,2020-03-11,9449000,41.0,0.0,0.0,0.0
Asia,Israel,2020-03-12,9449000,41.0,0.0,0.0,0.0
Asia,Israel,2020-03-13,9449000,41.0,0.0,0.0,0.0
Asia,Israel,2020-03-14,9449000,41.0,0.0,0.0,0.0
Asia,Israel,2020-03-15,9449000,192.0,151.0,0.0,0.0
Asia,Israel,2020-03-16,9449000,192.0,0.0,0.0,0.0
Asia,Israel,2020-03-17,9449000,192.0,0.0,0.0,0.0
Asia,Israel,2020-03-18,9449000,192.0,0.0,0.0,0.0
Asia,Israel,2020-03-19,9449000,192.0,0.0,0.0,0.0
Asia,Israel,2020-03-20,9449000,192.0,0.0,0.0,0.0
Asia,Israel,2020-03-21,9449000,192.0,0.0,0.0,0.0
Asia,Israel,2020-03-22,9449000,1036.0,844.0,1.0,1.0
Asia,Israel,2020-03-23,9449000,1036.0,0.0,1.0,0.0
