continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Italy,2020-01-05,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-06,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-07,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-08,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-09,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-10,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-11,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-12,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-13,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-14,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-15,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-16,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-17,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-18,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-19,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-20,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-21,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-22,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-23,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-24,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-25,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-26,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-27,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-28,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-29,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-30,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-01-31,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-02-01,59037472,0.0,0.0,0.0,0.0
Europe,Italy,2020-02-02,59037472,3.0,3.0,0.0,0.0
Europe,Italy,2020-02-03,59037472,3.0,0.0,0.0,0.0
Europe,Italy,2020-02-04,59037472,3.0,0.0,0.0,0.0
