continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Japan,2020-01-05,123951696,0.0,0.0,0.0,0.0
Asia,Japan,2020-01-06,123951696,0.0,0.0,0.0,0.0
Asia,Japan,2020-01-07,123951696,0.0,0.0,0.0,0.0
Asia,Japan,2020-01-08,123951696,0.0,0.0,0.0,0.0
Asia,Japan,2020-01-09,123951696,0.0,0.0,0.0,0.0
Asia,Japan,2020-01-10,123951696,0.0,0.0,0.0,0.0
Asia,Japan,2020-01-11,123951696,0.0,0.0,0.0,0.0
Asia,Japan,2020-01-12,123951696,0.0,0.0,0.0,0.0
Asia,Japan,2020-01-13,123951696,0.0,0.0,0.0,0.0
Asia,Japan,2020-01-14,123951696,0.0,0.0,0.0,0.0
Asia,Japan,2020-01-15,123951696,0.0,0.0,0.0,0.0
Asia,Japan,2020-01-16,123951696,0.0,0.0,0.0,0.0
Asia,Japan,2020-01-17,123951696,0.0,0.0,0.0,0.0
Asia,Japan,2020-01-18,123951696,0.0,0.0,0.0,0.0
Asia,Japan,2020-01-19,123951696,1.0,1.0,0.0,0.0
Asia,Japan,2020-01-20,123951696,1.0,0.0,0.0,0.0
Asia,Japan,2020-01-21,123951696,1.0,0.0,0.0,0.0
Asia,Japan,2020-01-22,123951696,1.0,0.0,0.0,0.0
Asia,Japan,2020-01-23,123951696,1.0,0.0,0.0,0.0
Asia,Japan,2020-01-24,123951696,1.0,0.0,0.0,0.0
Asia,Japan,2020-01-25,123951696,1.0,0.0,0.0,0.0
Asia,Japan,2020-01-26,123951696,3.0,2.0,0.0,0.0
Asia,Japan,2020-01-27,123951696,3.0,0.0,0.0,0.0
Asia,Japan,2020-01-28,123951696,3.0,0.0,0.0,0.0
Asia,Japan,2020-01-29,123951696,3.0,0.0,0.0,0.0
Asia,Japan,2020-01-30,123951696,3.0,0.0,0.0,0.0
Asia,Japan,2020-01-31,123951696,3.0,0.0,0.0,0.0
Asia,Japan,2020-02-01,123951696,3.0,0.0,0.0,0.0
Asia,Japan,2020-02-02,123951696,15.0,12.0,0.0,0.0
Asia,Japan,2020-02-03,123951696,15.0,0.0,0.0,0.0
Asia,Japan,2020-02-04,123951696,15.0,0.0,0.0,0.0
Asia,Japan,2020-02-05,123951696,15.0,0.0,0.0,0.0
Asia,Japan,2020-02-06,123951696,15.0,0.0,0.0,0.0
Asia,Japan,2020-02-07,123951696,15.0,0.0,0.0,0.0
Asia,Japan,2020-02-08,123951696,15.0,0.0,0.0,0.0
Asia,Japan,2020-02-09,123951696,25.0,10.0,0.0,0.0
Asia,Japan,2020-02-10,123951696,25.0,0.0,0.0,0.0
