continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Africa,Kenya,2020-01-05,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-06,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-07,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-08,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-09,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-10,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-11,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-12,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-13,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-14,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-15,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-16,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-17,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-18,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-19,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-20,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-21,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-22,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-23,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-24,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-25,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-26,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-27,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-28,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-29,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-30,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-01-31,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-01,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-02,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-03,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-04,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-05,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-06,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-07,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-08,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-09,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-10,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-11,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-12,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-13,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-14,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-15,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-16,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-17,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-18,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-19,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-20,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-21,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-22,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-23,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-24,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-25,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-26,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-27,54027484,0.0,0.0,0.0,0.0
Africa,Kenya,2020-02-28,54027484,0.0,0.0,0.0,0.0
