continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Liechtenstein,2020-01-05,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-06,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-07,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-08,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-09,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-10,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-11,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-12,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-13,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-14,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-15,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-16,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-17,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-18,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-19,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-20,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-21,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-22,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-23,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-24,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-25,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-26,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-27,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-28,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-29,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-30,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-01-31,39355,0.0,0.0,0.0,0.0
Europe,Liechtenstein,2020-02-01,39355,0.0,0.0,0.0,0.0
