continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
0,Low-income countries,2020-01-05,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-06,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-07,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-08,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-09,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-10,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-11,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-12,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-13,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-14,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-15,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-16,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-17,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-18,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-19,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-20,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-21,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-22,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-23,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-24,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-25,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-26,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-27,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-28,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-29,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-30,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-01-31,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-01,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-02,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-03,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-04,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-05,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-06,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-07,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-08,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-09,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-10,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-11,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-12,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-13,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-14,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-15,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-16,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-17,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-18,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-19,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-20,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-21,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-22,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-23,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-24,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-25,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-26,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-27,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-28,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-02-29,737604900,0.0,0.0,0.0,0.0
0,Low-income countries,2020-03-01,737604900,1.0,1.0,0.0,0.0
0,Low-income countries,2020-03-02,737604900,1.0,0.0,0.0,0.0
0,Low-income countries,2020-03-03,737604900,1.0,0.0,0.0,0.0
0,Low-income countries,2020-03-04,737604900,1.0,0.0,0.0,0.0
0,Low-income countries,2020-03-05,737604900,1.0,0.0,0.0,0.0
0,Low-income countries,2020-03-06,737604900,1.0,0.0,0.0,0.0
0,Low-income countries,2020-03-07,737604900,1.0,0.0,0.0,0.0
0,Low-income countries,2020-03-08,737604900,2.0,1.0,0.0,0.0
0,Low-income countries,2020-03-09,737604900,2.0,0.0,0.0,0.0
0,Low-income countries,2020-03-10,737604900,2.0,0.0,0.0,0.0
0,Low-income countries,2020-03-11,737604900,2.0,0.0,0.0,0.0
0,Low-income countries,2020-03-12,737604900,2.0,0.0,0.0,0.0
0,Low-income countries,2020-03-13,737604900,2.0,0.0,0.0,0.0
0,Low-income countries,2020-03-14,737604900,2.0,0.0,0.0,0.0
0,Low-income countries,2020-03-15,737604900,23.0,21.0,1.0,1.0
0,Low-income countries,2020-03-16,737604900,23.0,0.0,1.0,0.0
0,Low-income countries,2020-03-17,737604900,23.0,0.0,1.0,0.0
0,Low-income countries,2020-03-18,737604900,23.0,0.0,1.0,0.0
0,Low-income countries,2020-03-19,737604900,23.0,0.0,1.0,0.0
0,Low-income countries,2020-03-20,737604900,23.0,0.0,1.0,0.0
0,Low-income countries,2020-03-21,737604900,23.0,0.0,1.0,0.0
0,Low-income countries,2020-03-22,737604900,190.0,167.0,7.0,6.0
0,Low-income countries,2020-03-23,737604900,190.0,0.0,7.0,0.0
0,Low-income countries,2020-03-24,737604900,190.0,0.0,7.0,0.0
0,Low-income countries,2020-03-25,737604900,190.0,0.0,7.0,0.0
0,Low-income countries,2020-03-26,737604900,190.0,0.0,7.0,0.0
0,Low-income countries,2020-03-27,737604900,190.0,0.0,7.0,0.0
0,Low-income countries,2020-03-28,737604900,190.0,0.0,7.0,0.0
0,Low-income countries,2020-03-29,737604900,640.0,450.0,20.0,13.0
0,Low-income countries,2020-03-30,737604900,640.0,0.0,20.0,0.0
0,Low-income countries,2020-03-31,737604900,640.0,0.0,20.0,0.0
0,Low-income countries,2020-04-01,737604900,640.0,0.0,20.0,0.0
0,Low-income countries,2020-04-02,737604900,640.0,0.0,20.0,0.0
0,Low-income countries,2020-04-03,737604900,640.0,0.0,20.0,0.0
0,Low-income countries,2020-04-04,737604900,640.0,0.0,20.0,0.0
0,Low-income countries,2020-04-05,737604900,1403.0,763.0,90.0,70.0
0,Low-income countries,2020-04-06,737604900,1403.0,0.0,90.0,0.0
0,Low-income countries,2020-04-07,737604900,1403.0,0.0,90.0,0.0
0,Low-income countries,2020-04-08,737604900,1403.0,0.0,90.0,0.0
0,Low-income countries,2020-04-09,737604900,1403.0,0.0,90.0,0.0
0,Low-income countries,2020-04-10,737604900,1403.0,0.0,90.0,0.0
0,Low-income countries,2020-04-11,737604900,1403.0,0.0,90.0,0.0
0,Low-income countries,2020-04-12,737604900,2586.0,1183.0,138.0,48.0
0,Low-income countries,2020-04-13,737604900,2586.0,0.0,138.0,0.0
0,Low-income countries,2020-04-14,737604900,2586.0,0.0,138.0,0.0
0,Low-income countries,2020-04-15,737604900,2586.0,0.0,138.0,0.0
0,Low-income countries,2020-04-16,737604900,2586.0,0.0,138.0,0.0
0,Low-income countries,2020-04-17,737604900,2586.0,0.0,138.0,0.0
0,Low-income countries,2020-04-18,737604900,2586.0,0.0,138.0,0.0
0,Low-income countries,2020-04-19,737604900,3759.0,1173.0,409.0,271.0
0,Low-income countries,2020-04-20,737604900,3759.0,0.0,409.0,0.0
0,Low-income countries,2020-04-21,737604900,3759.0,0.0,409.0,0.0
0,Low-income countries,2020-04-22,737604900,3759.0,0.0,409.0,0.0
0,Low-income countries,2020-04-23,737604900,3759.0,0.0,409.0,0.0
0,Low-income countries,2020-04-24,737604900,3759.0,0.0,409.0,0.0
0,Low-income countries,2020-04-25,737604900,3759.0,0.0,409.0,0.0
0,Low-income countries,2020-04-26,737604900,5197.0,1438.0,470.0,61.0
0,Low-income countries,2020-04-27,737604900,5197.0,0.0,470.0,0.0
0,Low-income countries,2020-04-28,737604900,5197.0,0.0,470.0,0.0
0,Low-income countries,2020-04-29,737604900,5197.0,0.0,470.0,0.0
0,Low-income countries,2020-04-30,737604900,5197.0,0.0,470.0,0.0
0,Low-income countries,2020-05-01,737604900,5197.0,0.0,470.0,0.0
0,Low-income countries,2020-05-02,737604900,5197.0,0.0,470.0,0.0
0,Low-income countries,2020-05-03,737604900,7838.0,2641.0,582.0,112.0
0,Low-income countries,2020-05-04,737604900,7838.0,0.0,582.0,0.0
0,Low-income countries,2020-05-05,737604900,7838.0,0.0,582.0,0.0
0,Low-income countries,2020-05-06,737604900,7838.0,0.0,582.0,0.0
0,Low-income countries,2020-05-07,737604900,7838.0,0.0,582.0,0.0
0,Low-income countries,2020-05-08,737604900,7838.0,0.0,582.0,0.0
0,Low-income countries,2020-05-09,737604900,7838.0,0.0,582.0,0.0
0,Low-income countries,2020-05-10,737604900,11934.0,4096.0,743.0,161.0
0,Low-income countries,2020-05-11,737604900,11934.0,0.0,743.0,0.0
0,Low-income countries,2020-05-12,737604900,11934.0,0.0,743.0,0.0
0,Low-income countries,2020-05-13,737604900,11934.0,0.0,743.0,0.0
0,Low-income countries,2020-05-14,737604900,11934.0,0.0,743.0,0.0
0,Low-income countries,2020-05-15,737604900,11934.0,0.0,743.0,0.0
