continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Luxembourg,2020-01-05,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-06,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-07,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-08,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-09,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-10,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-11,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-12,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-13,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-14,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-15,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-16,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-17,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-18,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-19,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-20,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-21,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-22,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-23,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-24,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-25,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-26,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-27,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-28,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-29,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-30,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-01-31,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-01,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-02,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-03,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-04,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-05,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-06,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-07,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-08,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-09,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-10,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-11,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-12,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-13,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-14,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-15,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-16,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-17,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-18,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-19,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-20,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-21,647601,0.0,0.0,0.0,0.0
Europe,Luxembourg,2020-02-22,647601,0.0,0.0,0.0,0.0
