continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Malaysia,2020-01-05,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-06,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-07,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-08,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-09,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-10,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-11,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-12,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-13,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-14,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-15,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-16,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-17,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-18,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-19,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-20,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-21,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-22,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-23,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-24,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-25,33938216,0.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-26,33938216,4.0,4.0,0.0,0.0
Asia,Malaysia,2020-01-27,33938216,4.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-28,33938216,4.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-29,33938216,4.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-30,33938216,4.0,0.0,0.0,0.0
Asia,Malaysia,2020-01-31,33938216,4.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-01,33938216,4.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-02,33938216,8.0,4.0,0.0,0.0
Asia,Malaysia,2020-02-03,33938216,8.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-04,33938216,8.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-05,33938216,8.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-06,33938216,8.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-07,33938216,8.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-08,33938216,8.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-09,33938216,16.0,8.0,0.0,0.0
Asia,Malaysia,2020-02-10,33938216,16.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-11,33938216,16.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-12,33938216,16.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-13,33938216,16.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-14,33938216,16.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-15,33938216,16.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-16,33938216,22.0,6.0,0.0,0.0
Asia,Malaysia,2020-02-17,33938216,22.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-18,33938216,22.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-19,33938216,22.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-20,33938216,22.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-21,33938216,22.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-22,33938216,22.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-23,33938216,22.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-24,33938216,22.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-25,33938216,22.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-26,33938216,22.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-27,33938216,22.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-28,33938216,22.0,0.0,0.0,0.0
Asia,Malaysia,2020-02-29,33938216,22.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-01,33938216,25.0,3.0,0.0,0.0
Asia,Malaysia,2020-03-02,33938216,25.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-03,33938216,25.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-04,33938216,25.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-05,33938216,25.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-06,33938216,25.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-07,33938216,25.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-08,33938216,93.0,68.0,0.0,0.0
Asia,Malaysia,2020-03-09,33938216,93.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-10,33938216,93.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-11,33938216,93.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-12,33938216,93.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-13,33938216,93.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-14,33938216,93.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-15,33938216,238.0,145.0,0.0,0.0
Asia,Malaysia,2020-03-16,33938216,238.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-17,33938216,238.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-18,33938216,238.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-19,33938216,238.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-20,33938216,238.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-21,33938216,238.0,0.0,0.0,0.0
Asia,Malaysia,2020-03-22,33938216,1183.0,945.0,10.0,10.0
Asia,Malaysia,2020-03-23,33938216,1183.0,0.0,10.0,0.0
Asia,Malaysia,2020-03-24,33938216,1183.0,0.0,10.0,0.0
Asia,Malaysia,2020-03-25,33938216,1183.0,0.0,10.0,0.0
Asia,Malaysia,2020-03-26,33938216,1183.0,0.0,10.0,0.0
Asia,Malaysia,2020-03-27,33938216,1183.0,0.0,10.0,0.0
Asia,Malaysia,2020-03-28,33938216,1183.0,0.0,10.0,0.0
Asia,Malaysia,2020-03-29,33938216,2320.0,1137.0,27.0,17.0
Asia,Malaysia,2020-03-30,33938216,2320.0,0.0,27.0,0.0
Asia,Malaysia,2020-03-31,33938216,2320.0,0.0,27.0,0.0
Asia,Malaysia,2020-04-01,33938216,2320.0,0.0,27.0,0.0
Asia,Malaysia,2020-04-02,33938216,2320.0,0.0,27.0,0.0
Asia,Malaysia,2020-04-03,33938216,2320.0,0.0,27.0,0.0
Asia,Malaysia,2020-04-04,33938216,2320.0,0.0,27.0,0.0
Asia,Malaysia,2020-04-05,33938216,3483.0,1163.0,57.0,30.0
Asia,Malaysia,2020-04-06,33938216,3483.0,0.0,57.0,0.0
Asia,Malaysia,2020-04-07,33938216,3483.0,0.0,57.0,0.0
Asia,Malaysia,2020-04-08,33938216,3483.0,0.0,57.0,0.0
Asia,Malaysia,2020-04-09,33938216,3483.0,0.0,57.0,0.0
Asia,Malaysia,2020-04-10,33938216,3483.0,0.0,57.0,0.0
Asia,Malaysia,2020-04-11,33938216,3483.0,0.0,57.0,0.0
Asia,Malaysia,2020-04-12,33938216,4530.0,1047.0,73.0,16.0
Asia,Malaysia,2020-04-13,33938216,4530.0,0.0,73.0,0.0
Asia,Malaysia,2020-04-14,33938216,4530.0,0.0,73.0,0.0
Asia,Malaysia,2020-04-15,33938216,4530.0,0.0,73.0,0.0
Asia,Malaysia,2020-04-16,33938216,4530.0,0.0,73.0,0.0
Asia,Malaysia,2020-04-17,33938216,4530.0,0.0,73.0,0.0
Asia,Malaysia,2020-04-18,33938216,4530.0,0.0,73.0,0.0
Asia,Malaysia,2020-04-19,33938216,5305.0,775.0,88.0,15.0
Asia,Malaysia,2020-04-20,33938216,5305.0,0.0,88.0,0.0
Asia,Malaysia,2020-04-21,33938216,5305.0,0.0,88.0,0.0
Asia,Malaysia,2020-04-22,33938216,5305.0,0.0,88.0,0.0
Asia,Malaysia,2020-04-23,33938216,5305.0,0.0,88.0,0.0
Asia,Malaysia,2020-04-24,33938216,5305.0,0.0,88.0,0.0
Asia,Malaysia,2020-04-25,33938216,5305.0,0.0,88.0,0.0
Asia,Malaysia,2020-04-26,33938216,5742.0,437.0,98.0,10.0
Asia,Malaysia,2020-04-27,33938216,5742.0,0.0,98.0,0.0
Asia,Malaysia,2020-04-28,33938216,5742.0,0.0,98.0,0.0
Asia,Malaysia,2020-04-29,33938216,5742.0,0.0,98.0,0.0
Asia,Malaysia,2020-04-30,33938216,5742.0,0.0,98.0,0.0
Asia,Malaysia,2020-05-01,33938216,5742.0,0.0,98.0,0.0
Asia,Malaysia,2020-05-02,33938216,5742.0,0.0,98.0,0.0
Asia,Malaysia,2020-05-03,33938216,6176.0,434.0,103.0,5.0
Asia,Malaysia,2020-05-04,33938216,6176.0,0.0,103.0,0.0
Asia,Malaysia,2020-05-05,33938216,6176.0,0.0,103.0,0.0
Asia,Malaysia,2020-05-06,33938216,6176.0,0.0,103.0,0.0
Asia,Malaysia,2020-05-07,33938216,6176.0,0.0,103.0,0.0
Asia,Malaysia,2020-05-08,33938216,6176.0,0.0,103.0,0.0
Asia,Malaysia,2020-05-09,33938216,6176.0,0.0,103.0,0.0
Asia,Malaysia,2020-05-10,33938216,6589.0,413.0,108.0,5.0
Asia,Malaysia,2020-05-11,33938216,6589.0,0.0,108.0,0.0
Asia,Malaysia,2020-05-12,33938216,6589.0,0.0,108.0,0.0
Asia,Malaysia,2020-05-13,33938216,6589.0,0.0,108.0,0.0
Asia,Malaysia,2020-05-14,33938216,6589.0,0.0,108.0,0.0
Asia,Malaysia,2020-05-15,33938216,6589.0,0.0,108.0,0.0
Asia,Malaysia,2020-05-16,33938216,6589.0,0.0,108.0,0.0
Asia,Malaysia,2020-05-17,33938216,6872.0,283.0,113.0,5.0
Asia,Malaysia,2020-05-18,33938216,6872.0,0.0,113.0,0.0
Asia,Malaysia,2020-05-19,33938216,6872.0,0.0,113.0,0.0
Asia,Malaysia,2020-05-20,33938216,6872.0,0.0,113.0,0.0
Asia,Malaysia,2020-05-21,33938216,6872.0,0.0,113.0,0.0
Asia,Malaysia,2020-05-22,33938216,6872.0,0.0,113.0,0.0
Asia,Malaysia,2020-05-23,33938216,6872.0,0.0,113.0,0.0
Asia,Malaysia,2020-05-24,33938216,7185.0,313.0,115.0,2.0
Asia,Malaysia,2020-05-25,33938216,7185.0,0.0,115.0,0.0
Asia,Malaysia,2020-05-26,33938216,7185.0,0.0,115.0,0.0
Asia,Malaysia,2020-05-27,33938216,7185.0,0.0,115.0,0.0
Asia,Malaysia,2020-05-28,33938216,7185.0,0.0,115.0,0.0
Asia,Malaysia,2020-05-29,33938216,7185.0,0.0,115.0,0.0
Asia,Malaysia,2020-05-30,33938216,7185.0,0.0,115.0,0.0
Asia,Malaysia,2020-05-31,33938216,7762.0,577.0,115.0,0.0
Asia,Malaysia,2020-06-01,33938216,7762.0,0.0,115.0,0.0
Asia,Malaysia,2020-06-02,33938216,7762.0,0.0,115.0,0.0
Asia,Malaysia,2020-06-03,33938216,7762.0,0.0,115.0,0.0
Asia,Malaysia,2020-06-04,33938216,7762.0,0.0,115.0,0.0
Asia,Malaysia,2020-06-05,33938216,7762.0,0.0,115.0,0.0
Asia,Malaysia,2020-06-06,33938216,7762.0,0.0,115.0,0.0
Asia,Malaysia,2020-06-07,33938216,8303.0,541.0,117.0,2.0
Asia,Malaysia,2020-06-08,33938216,8303.0,0.0,117.0,0.0
Asia,Malaysia,2020-06-09,33938216,8303.0,0.0,117.0,0.0
Asia,Malaysia,2020-06-10,33938216,8303.0,0.0,117.0,0.0
Asia,Malaysia,2020-06-11,33938216,8303.0,0.0,117.0,0.0
Asia,Malaysia,2020-06-12,33938216,8303.0,0.0,117.0,0.0
Asia,Malaysia,2020-06-13,33938216,8303.0,0.0,117.0,0.0
Asia,Malaysia,2020-06-14,33938216,8445.0,142.0,120.0,3.0
Asia,Malaysia,2020-06-15,33938216,8445.0,0.0,120.0,0.0
Asia,Malaysia,2020-06-16,33938216,8445.0,0.0,120.0,0.0
Asia,Malaysia,2020-06-17,33938216,8445.0,0.0,120.0,0.0
Asia,Malaysia,2020-06-18,33938216,8445.0,0.0,120.0,0.0
Asia,Malaysia,2020-06-19,33938216,8445.0,0.0,120.0,0.0
Asia,Malaysia,2020-06-20,33938216,8445.0,0.0,120.0,0.0
Asia,Malaysia,2020-06-21,33938216,8556.0,111.0,121.0,1.0
Asia,Malaysia,2020-06-22,33938216,8556.0,0.0,121.0,0.0
Asia,Malaysia,2020-06-23,33938216,8556.0,0.0,121.0,0.0
Asia,Malaysia,2020-06-24,33938216,8556.0,0.0,121.0,0.0
Asia,Malaysia,2020-06-25,33938216,8556.0,0.0,121.0,0.0
Asia,Malaysia,2020-06-26,33938216,8556.0,0.0,121.0,0.0
Asia,Malaysia,2020-06-27,33938216,8556.0,0.0,121.0,0.0
Asia,Malaysia,2020-06-28,33938216,8616.0,60.0,121.0,0.0
Asia,Malaysia,2020-06-29,33938216,8616.0,0.0,121.0,0.0
Asia,Malaysia,2020-06-30,33938216,8616.0,0.0,121.0,0.0
Asia,Malaysia,2020-07-01,33938216,8616.0,0.0,121.0,0.0
Asia,Malaysia,2020-07-02,33938216,8616.0,0.0,121.0,0.0
Asia,Malaysia,2020-07-03,33938216,8616.0,0.0,121.0,0.0
Asia,Malaysia,2020-07-04,33938216,8616.0,0.0,121.0,0.0
Asia,Malaysia,2020-07-05,33938216,8658.0,42.0,121.0,0.0
Asia,Malaysia,2020-07-06,33938216,8658.0,0.0,121.0,0.0
Asia,Malaysia,2020-07-07,33938216,8658.0,0.0,121.0,0.0
Asia,Malaysia,2020-07-08,33938216,8658.0,0.0,121.0,0.0
Asia,Malaysia,2020-07-09,33938216,8658.0,0.0,121.0,0.0
Asia,Malaysia,2020-07-10,33938216,8658.0,0.0,121.0,0.0
Asia,Malaysia,2020-07-11,33938216,8658.0,0.0,121.0,0.0
Asia,Malaysia,2020-07-12,33938216,8704.0,46.0,122.0,1.0
Asia,Malaysia,2020-07-13,33938216,8704.0,0.0,122.0,0.0
Asia,Malaysia,2020-07-14,33938216,8704.0,0.0,122.0,0.0
Asia,Malaysia,2020-07-15,33938216,8704.0,0.0,122.0,0.0
Asia,Malaysia,2020-07-16,33938216,8704.0,0.0,122.0,0.0
Asia,Malaysia,2020-07-17,33938216,8704.0,0.0,122.0,0.0
Asia,Malaysia,2020-07-18,33938216,8704.0,0.0,122.0,0.0
Asia,Malaysia,2020-07-19,33938216,8764.0,60.0,122.0,0.0
Asia,Malaysia,2020-07-20,33938216,8764.0,0.0,122.0,0.0
Asia,Malaysia,2020-07-21,33938216,8764.0,0.0,122.0,0.0
Asia,Malaysia,2020-07-22,33938216,8764.0,0.0,122.0,0.0
Asia,Malaysia,2020-07-23,33938216,8764.0,0.0,122.0,0.0
Asia,Malaysia,2020-07-24,33938216,8764.0,0.0,122.0,0.0
Asia,Malaysia,2020-07-25,33938216,8764.0,0.0,122.0,0.0
Asia,Malaysia,2020-07-26,33938216,8884.0,120.0,123.0,1.0
Asia,Malaysia,2020-07-27,33938216,8884.0,0.0,123.0,0.0
Asia,Malaysia,2020-07-28,33938216,8884.0,0.0,123.0,0.0
Asia,Malaysia,2020-07-29,33938216,8884.0,0.0,123.0,0.0
Asia,Malaysia,2020-07-30,33938216,8884.0,0.0,123.0,0.0
Asia,Malaysia,2020-07-31,33938216,8884.0,0.0,123.0,0.0
Asia,Malaysia,2020-08-01,33938216,8884.0,0.0,123.0,0.0
Asia,Malaysia,2020-08-02,33938216,8985.0,101.0,125.0,2.0
Asia,Malaysia,2020-08-03,33938216,8985.0,0.0,125.0,0.0
Asia,Malaysia,2020-08-04,33938216,8985.0,0.0,125.0,0.0
Asia,Malaysia,2020-08-05,33938216,8985.0,0.0,125.0,0.0
Asia,Malaysia,2020-08-06,33938216,8985.0,0.0,125.0,0.0
Asia,Malaysia,2020-08-07,33938216,8985.0,0.0,125.0,0.0
Asia,Malaysia,2020-08-08,33938216,8985.0,0.0,125.0,0.0
Asia,Malaysia,2020-08-09,33938216,9070.0,85.0,125.0,0.0
