continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Maldives,2020-01-05,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-06,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-07,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-08,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-09,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-10,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-11,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-12,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-13,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-14,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-15,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-16,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-17,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-18,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-19,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-20,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-21,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-22,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-23,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-24,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-25,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-26,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-27,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-28,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-29,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-30,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-01-31,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-02-01,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-02-02,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-02-03,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-02-04,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-02-05,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-02-06,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-02-07,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-02-08,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-02-09,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-02-10,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-02-11,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-02-12,523798,0.0,0.0,0.0,0.0
Asia,Maldives,2020-02-13,523798,0.0,0.0,0.0,0.0
