continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Oceania,Marshall Islands,2020-01-05,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-06,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-07,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-08,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-09,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-10,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-11,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-12,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-13,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-14,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-15,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-16,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-17,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-18,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-19,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-20,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-21,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-22,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-23,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-24,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-25,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-26,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-27,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-28,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-29,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-30,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-01-31,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-01,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-02,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-03,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-04,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-05,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-06,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-07,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-08,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-09,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-10,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-11,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-12,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-13,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-14,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-15,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-16,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-17,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-18,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-19,41593,0.0,0.0,0.0,0.0
Oceania,Marshall Islands,2020-02-20,41593,0.0,0.0,0.0,0.0
