continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Martinique,2020-01-05,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-06,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-07,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-08,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-09,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-10,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-11,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-12,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-13,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-14,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-15,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-16,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-17,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-18,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-19,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-20,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-21,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-22,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-23,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-24,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-25,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-26,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-27,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-28,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-29,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-30,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-01-31,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-01,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-02,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-03,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-04,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-05,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-06,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-07,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-08,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-09,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-10,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-11,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-12,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-13,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-14,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-15,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-16,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-17,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-18,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-19,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-20,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-21,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-22,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-23,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-24,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-25,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-26,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-27,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-28,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-02-29,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-03-01,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-03-02,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-03-03,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-03-04,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-03-05,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-03-06,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-03-07,367512,0.0,0.0,0.0,0.0
North America,Martinique,2020-03-08,367512,2.0,2.0,0.0,0.0
North America,Martinique,2020-03-09,367512,2.0,0.0,0.0,0.0
North America,Martinique,2020-03-10,367512,2.0,0.0,0.0,0.0
North America,Martinique,2020-03-11,367512,2.0,0.0,0.0,0.0
North America,Martinique,2020-03-12,367512,2.0,0.0,0.0,0.0
North America,Martinique,2020-03-13,367512,2.0,0.0,0.0,0.0
North America,Martinique,2020-03-14,367512,2.0,0.0,0.0,0.0
North America,Martinique,2020-03-15,367512,7.0,5.0,0.0,0.0
North America,Martinique,2020-03-16,367512,7.0,0.0,0.0,0.0
North America,Martinique,2020-03-17,367512,7.0,0.0,0.0,0.0
North America,Martinique,2020-03-18,367512,7.0,0.0,0.0,0.0
North America,Martinique,2020-03-19,367512,7.0,0.0,0.0,0.0
North America,Martinique,2020-03-20,367512,7.0,0.0,0.0,0.0
North America,Martinique,2020-03-21,367512,7.0,0.0,0.0,0.0
North America,Martinique,2020-03-22,367512,32.0,25.0,0.0,0.0
North America,Martinique,2020-03-23,367512,32.0,0.0,0.0,0.0
North America,Martinique,2020-03-24,367512,32.0,0.0,0.0,0.0
North America,Martinique,2020-03-25,367512,32.0,0.0,0.0,0.0
North America,Martinique,2020-03-26,367512,32.0,0.0,0.0,0.0
North America,Martinique,2020-03-27,367512,32.0,0.0,0.0,0.0
North America,Martinique,2020-03-28,367512,32.0,0.0,0.0,0.0
North America,Martinique,2020-03-29,367512,93.0,61.0,1.0,1.0
North America,Martinique,2020-03-30,367512,93.0,0.0,1.0,0.0
North America,Martinique,2020-03-31,367512,93.0,0.0,1.0,0.0
North America,Martinique,2020-04-01,367512,93.0,0.0,1.0,0.0
North America,Martinique,2020-04-02,367512,93.0,0.0,1.0,0.0
North America,Martinique,2020-04-03,367512,93.0,0.0,1.0,0.0
North America,Martinique,2020-04-04,367512,93.0,0.0,1.0,0.0
North America,Martinique,2020-04-05,367512,145.0,52.0,3.0,2.0
North America,Martinique,2020-04-06,367512,145.0,0.0,3.0,0.0
North America,Martinique,2020-04-07,367512,145.0,0.0,3.0,0.0
North America,Martinique,2020-04-08,367512,145.0,0.0,3.0,0.0
North America,Martinique,2020-04-09,367512,145.0,0.0,3.0,0.0
North America,Martinique,2020-04-10,367512,145.0,0.0,3.0,0.0
North America,Martinique,2020-04-11,367512,145.0,0.0,3.0,0.0
North America,Martinique,2020-04-12,367512,155.0,10.0,6.0,3.0
North America,Martinique,2020-04-13,367512,155.0,0.0,6.0,0.0
North America,Martinique,2020-04-14,367512,155.0,0.0,6.0,0.0
North America,Martinique,2020-04-15,367512,155.0,0.0,6.0,0.0
North America,Martinique,2020-04-16,367512,155.0,0.0,6.0,0.0
North America,Martinique,2020-04-17,367512,155.0,0.0,6.0,0.0
North America,Martinique,2020-04-18,367512,155.0,0.0,6.0,0.0
North America,Martinique,2020-04-19,367512,163.0,8.0,12.0,6.0
North America,Martinique,2020-04-20,367512,163.0,0.0,12.0,0.0
North America,Martinique,2020-04-21,367512,163.0,0.0,12.0,0.0
North America,Martinique,2020-04-22,367512,163.0,0.0,12.0,0.0
North America,Martinique,2020-04-23,367512,163.0,0.0,12.0,0.0
North America,Martinique,2020-04-24,367512,163.0,0.0,12.0,0.0
North America,Martinique,2020-04-25,367512,163.0,0.0,12.0,0.0
North America,Martinique,2020-04-26,367512,170.0,7.0,14.0,2.0
North America,Martinique,2020-04-27,367512,170.0,0.0,14.0,0.0
North America,Martinique,2020-04-28,367512,170.0,0.0,14.0,0.0
North America,Martinique,2020-04-29,367512,170.0,0.0,14.0,0.0
North America,Martinique,2020-04-30,367512,170.0,0.0,14.0,0.0
North America,Martinique,2020-05-01,367512,170.0,0.0,14.0,0.0
North America,Martinique,2020-05-02,367512,170.0,0.0,14.0,0.0
North America,Martinique,2020-05-03,367512,180.0,10.0,14.0,0.0
North America,Martinique,2020-05-04,367512,180.0,0.0,14.0,0.0
North America,Martinique,2020-05-05,367512,180.0,0.0,14.0,0.0
North America,Martinique,2020-05-06,367512,180.0,0.0,14.0,0.0
North America,Martinique,2020-05-07,367512,180.0,0.0,14.0,0.0
North America,Martinique,2020-05-08,367512,180.0,0.0,14.0,0.0
North America,Martinique,2020-05-09,367512,180.0,0.0,14.0,0.0
North America,Martinique,2020-05-10,367512,186.0,6.0,14.0,0.0
North America,Martinique,2020-05-11,367512,186.0,0.0,14.0,0.0
North America,Martinique,2020-05-12,367512,186.0,0.0,14.0,0.0
North America,Martinique,2020-05-13,367512,186.0,0.0,14.0,0.0
North America,Martinique,2020-05-14,367512,186.0,0.0,14.0,0.0
North America,Martinique,2020-05-15,367512,186.0,0.0,14.0,0.0
North America,Martinique,2020-05-16,367512,186.0,0.0,14.0,0.0
North America,Martinique,2020-05-17,367512,192.0,6.0,14.0,0.0
North America,Martinique,2020-05-18,367512,192.0,0.0,14.0,0.0
North America,Martinique,2020-05-19,367512,192.0,0.0,14.0,0.0
