continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Africa,Mayotte,2020-01-05,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-06,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-07,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-08,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-09,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-10,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-11,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-12,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-13,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-14,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-15,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-16,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-17,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-18,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-19,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-20,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-21,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-22,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-23,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-24,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-25,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-26,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-27,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-28,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-29,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-30,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-01-31,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-01,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-02,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-03,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-04,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-05,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-06,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-07,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-08,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-09,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-10,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-11,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-12,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-13,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-14,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-15,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-16,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-17,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-18,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-19,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-20,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-21,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-22,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-23,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-24,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-25,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-26,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-27,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-28,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-02-29,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-01,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-02,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-03,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-04,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-05,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-06,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-07,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-08,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-09,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-10,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-11,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-12,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-13,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-14,326113,0.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-15,326113,5.0,5.0,0.0,0.0
Africa,Mayotte,2020-03-16,326113,5.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-17,326113,5.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-18,326113,5.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-19,326113,5.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-20,326113,5.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-21,326113,5.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-22,326113,11.0,6.0,0.0,0.0
Africa,Mayotte,2020-03-23,326113,11.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-24,326113,11.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-25,326113,11.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-26,326113,11.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-27,326113,11.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-28,326113,11.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-29,326113,50.0,39.0,0.0,0.0
Africa,Mayotte,2020-03-30,326113,50.0,0.0,0.0,0.0
Africa,Mayotte,2020-03-31,326113,50.0,0.0,0.0,0.0
Africa,Mayotte,2020-04-01,326113,50.0,0.0,0.0,0.0
Africa,Mayotte,2020-04-02,326113,50.0,0.0,0.0,0.0
Africa,Mayotte,2020-04-03,326113,50.0,0.0,0.0,0.0
Africa,Mayotte,2020-04-04,326113,50.0,0.0,0.0,0.0
Africa,Mayotte,2020-04-05,326113,147.0,97.0,2.0,2.0
Africa,Mayotte,2020-04-06,326113,147.0,0.0,2.0,0.0
Africa,Mayotte,2020-04-07,326113,147.0,0.0,2.0,0.0
Africa,Mayotte,2020-04-08,326113,147.0,0.0,2.0,0.0
Africa,Mayotte,2020-04-09,326113,147.0,0.0,2.0,0.0
Africa,Mayotte,2020-04-10,326113,147.0,0.0,2.0,0.0
Africa,Mayotte,2020-04-11,326113,147.0,0.0,2.0,0.0
Africa,Mayotte,2020-04-12,326113,191.0,44.0,2.0,0.0
Africa,Mayotte,2020-04-13,326113,191.0,0.0,2.0,0.0
Africa,Mayotte,2020-04-14,326113,191.0,0.0,2.0,0.0
Africa,Mayotte,2020-04-15,326113,191.0,0.0,2.0,0.0
Africa,Mayotte,2020-04-16,326113,191.0,0.0,2.0,0.0
Africa,Mayotte,2020-04-17,326113,191.0,0.0,2.0,0.0
Africa,Mayotte,2020-04-18,326113,191.0,0.0,2.0,0.0
Africa,Mayotte,2020-04-19,326113,245.0,54.0,4.0,2.0
Africa,Mayotte,2020-04-20,326113,245.0,0.0,4.0,0.0
Africa,Mayotte,2020-04-21,326113,245.0,0.0,4.0,0.0
Africa,Mayotte,2020-04-22,326113,245.0,0.0,4.0,0.0
Africa,Mayotte,2020-04-23,326113,245.0,0.0,4.0,0.0
Africa,Mayotte,2020-04-24,326113,245.0,0.0,4.0,0.0
Africa,Mayotte,2020-04-25,326113,245.0,0.0,4.0,0.0
Africa,Mayotte,2020-04-26,326113,354.0,109.0,4.0,0.0
Africa,Mayotte,2020-04-27,326113,354.0,0.0,4.0,0.0
Africa,Mayotte,2020-04-28,326113,354.0,0.0,4.0,0.0
Africa,Mayotte,2020-04-29,326113,354.0,0.0,4.0,0.0
Africa,Mayotte,2020-04-30,326113,354.0,0.0,4.0,0.0
Africa,Mayotte,2020-05-01,326113,354.0,0.0,4.0,0.0
Africa,Mayotte,2020-05-02,326113,354.0,0.0,4.0,0.0
Africa,Mayotte,2020-05-03,326113,596.0,242.0,6.0,2.0
Africa,Mayotte,2020-05-04,326113,596.0,0.0,6.0,0.0
Africa,Mayotte,2020-05-05,326113,596.0,0.0,6.0,0.0
Africa,Mayotte,2020-05-06,326113,596.0,0.0,6.0,0.0
Africa,Mayotte,2020-05-07,326113,596.0,0.0,6.0,0.0
Africa,Mayotte,2020-05-08,326113,596.0,0.0,6.0,0.0
Africa,Mayotte,2020-05-09,326113,596.0,0.0,6.0,0.0
Africa,Mayotte,2020-05-10,326113,890.0,294.0,11.0,5.0
Africa,Mayotte,2020-05-11,326113,890.0,0.0,11.0,0.0
Africa,Mayotte,2020-05-12,326113,890.0,0.0,11.0,0.0
Africa,Mayotte,2020-05-13,326113,890.0,0.0,11.0,0.0
Africa,Mayotte,2020-05-14,326113,890.0,0.0,11.0,0.0
Africa,Mayotte,2020-05-15,326113,890.0,0.0,11.0,0.0
Africa,Mayotte,2020-05-16,326113,890.0,0.0,11.0,0.0
Africa,Mayotte,2020-05-17,326113,1258.0,368.0,16.0,5.0
Africa,Mayotte,2020-05-18,326113,1258.0,0.0,16.0,0.0
Africa,Mayotte,2020-05-19,326113,1258.0,0.0,16.0,0.0
Africa,Mayotte,2020-05-20,326113,1258.0,0.0,16.0,0.0
Africa,Mayotte,2020-05-21,326113,1258.0,0.0,16.0,0.0
Africa,Mayotte,2020-05-22,326113,1258.0,0.0,16.0,0.0
Africa,Mayotte,2020-05-23,326113,1258.0,0.0,16.0,0.0
Africa,Mayotte,2020-05-24,326113,1521.0,263.0,19.0,3.0
Africa,Mayotte,2020-05-25,326113,1521.0,0.0,19.0,0.0
Africa,Mayotte,2020-05-26,326113,1521.0,0.0,19.0,0.0
Africa,Mayotte,2020-05-27,326113,1521.0,0.0,19.0,0.0
Africa,Mayotte,2020-05-28,326113,1521.0,0.0,19.0,0.0
Africa,Mayotte,2020-05-29,326113,1521.0,0.0,19.0,0.0
Africa,Mayotte,2020-05-30,326113,1521.0,0.0,19.0,0.0
Africa,Mayotte,2020-05-31,326113,1743.0,222.0,21.0,2.0
Africa,Mayotte,2020-06-01,326113,1743.0,0.0,21.0,0.0
Africa,Mayotte,2020-06-02,326113,1743.0,0.0,21.0,0.0
Africa,Mayotte,2020-06-03,326113,1743.0,0.0,21.0,0.0
Africa,Mayotte,2020-06-04,326113,1743.0,0.0,21.0,0.0
Africa,Mayotte,2020-06-05,326113,1743.0,0.0,21.0,0.0
Africa,Mayotte,2020-06-06,326113,1743.0,0.0,21.0,0.0
Africa,Mayotte,2020-06-07,326113,2079.0,336.0,25.0,4.0
Africa,Mayotte,2020-06-08,326113,2079.0,0.0,25.0,0.0
Africa,Mayotte,2020-06-09,326113,2079.0,0.0,25.0,0.0
Africa,Mayotte,2020-06-10,326113,2079.0,0.0,25.0,0.0
Africa,Mayotte,2020-06-11,326113,2079.0,0.0,25.0,0.0
Africa,Mayotte,2020-06-12,326113,2079.0,0.0,25.0,0.0
Africa,Mayotte,2020-06-13,326113,2079.0,0.0,25.0,0.0
Africa,Mayotte,2020-06-14,326113,2282.0,203.0,29.0,4.0
Africa,Mayotte,2020-06-15,326113,2282.0,0.0,29.0,0.0
Africa,Mayotte,2020-06-16,326113,2282.0,0.0,29.0,0.0
Africa,Mayotte,2020-06-17,326113,2282.0,0.0,29.0,0.0
Africa,Mayotte,2020-06-18,326113,2282.0,0.0,29.0,0.0
Africa,Mayotte,2020-06-19,326113,2282.0,0.0,29.0,0.0
Africa,Mayotte,2020-06-20,326113,2282.0,0.0,29.0,0.0
