continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Mexico,2020-01-01,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-02,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-03,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-04,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-05,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-06,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-07,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-08,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-09,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-10,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-11,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-12,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-13,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-14,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-15,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-16,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-17,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-18,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-19,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-20,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-21,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-22,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-23,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-24,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-25,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-26,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-27,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-28,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-29,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-30,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-01-31,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-01,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-02,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-03,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-04,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-05,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-06,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-07,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-08,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-09,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-10,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-11,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-12,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-13,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-14,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-15,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-16,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-17,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-18,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-19,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-20,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-21,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-22,127504120,0.0,0.0,0.0,0.0
North America,Mexico,2020-02-23,127504120,1.0,1.0,0.0,0.0
North America,Mexico,2020-02-24,127504120,1.0,0.0,0.0,0.0
North America,Mexico,2020-02-25,127504120,1.0,0.0,0.0,0.0
North America,Mexico,2020-02-26,127504120,1.0,0.0,0.0,0.0
North America,Mexico,2020-02-27,127504120,1.0,0.0,0.0,0.0
