continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Nepal,2020-01-05,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-06,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-07,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-08,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-09,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-10,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-11,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-12,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-13,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-14,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-15,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-16,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-17,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-18,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-19,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-20,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-21,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-22,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-23,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-24,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-25,30547586,0.0,0.0,0.0,0.0
Asia,Nepal,2020-01-26,30547586,5.0,5.0,0.0,0.0
Asia,Nepal,2020-01-27,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-01-28,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-01-29,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-01-30,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-01-31,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-01,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-02,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-03,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-04,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-05,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-06,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-07,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-08,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-09,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-10,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-11,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-12,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-13,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-14,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-15,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-16,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-17,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-18,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-19,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-20,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-21,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-22,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-23,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-24,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-25,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-26,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-27,30547586,5.0,0.0,0.0,0.0
Asia,Nepal,2020-02-28,30547586,5.0,0.0,0.0,0.0
