continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Oceania,New Caledonia,2020-01-05,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-06,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-07,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-08,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-09,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-10,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-11,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-12,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-13,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-14,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-15,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-16,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-17,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-18,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-19,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-20,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-21,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-22,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-23,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-24,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-25,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-26,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-27,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-28,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-29,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-30,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-01-31,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-02-01,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-02-02,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-02-03,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-02-04,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-02-05,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-02-06,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-02-07,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-02-08,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-02-09,289959,0.0,0.0,0.0,0.0
Oceania,New Caledonia,2020-02-10,289959,0.0,0.0,0.0,0.0
