continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
0,North America,2020-01-05,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-06,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-07,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-08,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-09,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-10,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-11,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-12,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-13,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-14,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-15,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-16,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-17,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-18,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-19,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-20,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-21,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-22,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-23,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-24,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-25,600323657,0.0,0.0,0.0,0.0
0,North America,2020-01-26,600323657,8.0,8.0,0.0,0.0
0,North America,2020-01-27,600323657,8.0,0.0,0.0,0.0
0,North America,2020-01-28,600323657,8.0,0.0,0.0,0.0
0,North America,2020-01-29,600323657,8.0,0.0,0.0,0.0
0,North America,2020-01-30,600323657,8.0,0.0,0.0,0.0
0,North America,2020-01-31,600323657,8.0,0.0,0.0,0.0
0,North America,2020-02-01,600323657,8.0,0.0,0.0,0.0
0,North America,2020-02-02,600323657,13.0,5.0,0.0,0.0
0,North America,2020-02-03,600323657,13.0,0.0,0.0,0.0
0,North America,2020-02-04,600323657,13.0,0.0,0.0,0.0
0,North America,2020-02-05,600323657,13.0,0.0,0.0,0.0
0,North America,2020-02-06,600323657,13.0,0.0,0.0,0.0
0,North America,2020-02-07,600323657,13.0,0.0,0.0,0.0
0,North America,2020-02-08,600323657,13.0,0.0,0.0,0.0
0,North America,2020-02-09,600323657,27.0,14.0,0.0,0.0
0,North America,2020-02-10,600323657,27.0,0.0,0.0,0.0
0,North America,2020-02-11,600323657,27.0,0.0,0.0,0.0
0,North America,2020-02-12,600323657,27.0,0.0,0.0,0.0
0,North America,2020-02-13,600323657,27.0,0.0,0.0,0.0
0,North America,2020-02-14,600323657,27.0,0.0,0.0,0.0
0,North America,2020-02-15,600323657,27.0,0.0,0.0,0.0
0,North America,2020-02-16,600323657,31.0,4.0,0.0,0.0
0,North America,2020-02-17,600323657,31.0,0.0,0.0,0.0
0,North America,2020-02-18,600323657,31.0,0.0,0.0,0.0
0,North America,2020-02-19,600323657,31.0,0.0,0.0,0.0
0,North America,2020-02-20,600323657,31.0,0.0,0.0,0.0
0,North America,2020-02-21,600323657,31.0,0.0,0.0,0.0
0,North America,2020-02-22,600323657,31.0,0.0,0.0,0.0
0,North America,2020-02-23,600323657,50.0,19.0,0.0,0.0
0,North America,2020-02-24,600323657,50.0,0.0,0.0,0.0
0,North America,2020-02-25,600323657,50.0,0.0,0.0,0.0
0,North America,2020-02-26,600323657,50.0,0.0,0.0,0.0
0,North America,2020-02-27,600323657,50.0,0.0,0.0,0.0
0,North America,2020-02-28,600323657,50.0,0.0,0.0,0.0
0,North America,2020-02-29,600323657,50.0,0.0,0.0,0.0
0,North America,2020-03-01,600323657,94.0,44.0,1.0,1.0
0,North America,2020-03-02,600323657,94.0,0.0,1.0,0.0
0,North America,2020-03-03,600323657,94.0,0.0,1.0,0.0
0,North America,2020-03-04,600323657,94.0,0.0,1.0,0.0
0,North America,2020-03-05,600323657,94.0,0.0,1.0,0.0
0,North America,2020-03-06,600323657,94.0,0.0,1.0,0.0
0,North America,2020-03-07,600323657,94.0,0.0,1.0,0.0
0,North America,2020-03-08,600323657,575.0,481.0,19.0,18.0
0,North America,2020-03-09,600323657,575.0,0.0,19.0,0.0
0,North America,2020-03-10,600323657,575.0,0.0,19.0,0.0
0,North America,2020-03-11,600323657,575.0,0.0,19.0,0.0
0,North America,2020-03-12,600323657,575.0,0.0,19.0,0.0
0,North America,2020-03-13,600323657,575.0,0.0,19.0,0.0
0,North America,2020-03-14,600323657,575.0,0.0,19.0,0.0
0,North America,2020-03-15,600323657,4432.0,3857.0,72.0,53.0
0,North America,2020-03-16,600323657,4432.0,0.0,72.0,0.0
0,North America,2020-03-17,600323657,4432.0,0.0,72.0,0.0
0,North America,2020-03-18,600323657,4432.0,0.0,72.0,0.0
0,North America,2020-03-19,600323657,4432.0,0.0,72.0,0.0
0,North America,2020-03-20,600323657,4432.0,0.0,72.0,0.0
0,North America,2020-03-21,600323657,4432.0,0.0,72.0,0.0
