continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Oceania,Northern Mariana Islands,2020-01-05,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-06,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-07,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-08,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-09,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-10,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-11,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-12,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-13,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-14,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-15,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-16,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-17,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-18,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-19,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-20,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-21,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-22,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-23,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-24,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-25,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-26,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-27,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-28,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-29,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-30,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-01-31,49574,0.0,0.0,0.0,0.0
Oceania,Northern Mariana Islands,2020-02-01,49574,0.0,0.0,0.0,0.0
